English,German
hunchback,['bucklige']
diner,['imbiss']
timidity,['schüchternheit']
flour,['mehl']
thicket,['dickicht']
midterm,"['zwischenprüfung', 'halbzeit']"
guise,['deckmantel']
push,"['schieben', 'drücken', 'pressen']"
brow,"['stirn', 'augenbrauen']"
activates,['aktiviert']
palate,['gaumen']
mentality,['mentalität']
polity,['gemeinwesens']
monarchist,['monarchistische']
genuine,"['echte', 'echt', 'echtes', 'echten']"
guarding,"['bewachen', 'bewachung']"
conspiratorial,['konspirativen']
headache,"['kopfschmerzen', 'migräne']"
squeeze,"['abdrücken', 'drücken']"
vegetarianism,['vegetarismus']
sponsorship,"['trägerschaft', 'schirmherrschaft', 'sponsoring', 'sponsoren']"
illiteracy,['analphabetismus']
insurrection,['aufstand']
microeconomics,['mikroökonomie']
characterizes,['charakterisiert']
laundry,"['wäsche', 'waschen', 'waschmaschine', 'wäscherei']"
rhyme,['reim']
hear,"['hört', 'höre', 'hören', 'anhören']"
deserves,['verdient']
majolica,['majolika']
lag,['verzögerung']
slump,['einbruch']
reconcile,"['versöhnung', 'vereinbaren', 'versöhnen']"
hare,"['hase', 'hasen']"
illuminate,"['beleuchten', 'erleuchtung']"
compost,['kompost']
cease,['aufhören']
spring,"['frühling', 'frühjahr', 'frühlings']"
numerator,['zähler']
passionate,"['leidenschaftlichen', 'leidenschaft', 'leidenschaftliche', 'leidenschaftlich', 'leidenschaftlicher']"
cooked,"['zubereitet', 'gekocht']"
associate,"['assoziierte', 'mitarbeiterin', 'verknüpfen']"
fatality,"['todesfall', 'todesopfer']"
taproot,['pfahlwurzel']
flashlight,['taschenlampe']
bridging,"['überbrücken', 'überbrückung']"
congressman,"['abgeordneten', 'abgeordnete', 'kongressabgeordneter', 'abgeordneter']"
temple,"['tempels', 'tempel']"
pronunciation,['aussprache']
incapable,['unfähig']
chromosome,"['chromosomen', 'chromosom']"
flanders,['flandern']
alternating,"['wechselnde', 'abwechselnd', 'alternierende']"
telescopic,['teleskop']
naughty,"['frech', 'unanständig']"
lightcurve,['lichtkurve']
queer,['schwul']
microphone,"['mikro', 'mikrofone', 'mikrofon', 'mikrophon']"
permission,"['berechtigung', 'erlaubnis', 'genehmigung']"
knit,"['stricken', 'strick']"
prefect,['präfekt']
workplace,"['arbeitsstelle', 'arbeitsplatz', 'arbeitsort']"
share,"['teile', 'teilen', 'anteil']"
singularity,"['einzigartigkeit', 'singularität']"
player,['spieler']
sophistry,['sophistik']
anthracite,['anthrazit']
rancid,['ranzig']
override,"['hinwegsetzen', 'überschreiben', 'übergehen']"
murderer,"['mörderin', 'mörder']"
try,"['probieren', 'versuche', 'probiere', 'versuch', 'versuchen']"
series,"['reihe', 'serie', 'zeitreihen', 'baureihe', 'reihen']"
polluting,['schadstoffe']
hosting,"['gastgeber', 'beherbergen']"
zionist,['zionistischen']
advocacy,"['fürsprache', 'fürsprecher', 'lobbyarbeit', 'befürwortung']"
collaborate,"['zusammenarbeiten', 'mitarbeiten', 'kooperieren']"
versatility,"['vielseitig', 'vielseitigkeit']"
concave,['konkav']
impasse,['sackgasse']
gallon,['gallone']
ceramic,"['keramische', 'keramik', 'keramischen']"
politics,"['politik', 'politiker']"
pilgrimage,"['wallfahrt', 'wallfahrtsort', 'pilgerfahrt']"
exempt,['befreit']
hematoma,['hämatom']
femininity,['weiblichkeit']
cute,"['süss', 'süß', 'niedlich', 'süßen', 'süße']"
compartment,"['abteil', 'fach']"
ineffectiveness,"['ineffizienz', 'unwirksamkeit']"
achievement,"['verwirklichung', 'leistung']"
mineral,"['mineralische', 'mineralien', 'mineralwasser', 'mineralstoffe']"
offset,"['ausgleich', 'ausgeglichen', 'aufrechnung', 'ausgleichen', 'kompensieren']"
peacetime,['friedenszeiten']
com,['kom']
discontinuation,['absetzen']
kernel,['kernels']
prune,['pflaume']
achieves,['erzielt']
creon,['kreon']
diversion,"['umleitung', 'ablenkung', 'zerstreuung', 'abzweigung']"
crawlspace,['zwischendecke']
reflex,['reflexe']
medievalist,['mediävist']
footnote,"['fußnote', 'fußnoten']"
meagre,"['mager', 'mageren', 'dürftig']"
electrification,['elektrifizierung']
conditional,"['abhängig', 'bedingung', 'bedingte', 'bedingt', 'voraussetzung']"
life,"['leben', 'lebens']"
reformatory,['besserungsanstalt']
childbirth,"['entbindung', 'geburt']"
consummate,['vollziehen']
snowstorm,['schneesturm']
astroturf,['kunstrasen']
yardstick,['maßstab']
banker,"['bankiers', 'bankier']"
stats,"['statistiken', 'statistik']"
redirects,['weiterleitungen']
slander,['verleumdung']
peacemaker,['friedensstifter']
acetaldehyde,['acetaldehyd']
armoured,['gepanzerte']
colonel,"['oberstleutnant', 'oberst', 'col']"
maya,['maja']
gelatin,['gelatine']
drove,"['fuhr', 'fuhren']"
arresting,"['verhaften', 'festnehmen']"
upholsterer,['polsterer']
hydrate,['hydrat']
nicer,"['schöner', 'schönere', 'netter', 'angenehmer']"
escaping,"['fliehen', 'entkommen', 'flucht']"
ruining,['ruinieren']
modelling,"['modellieren', 'modellierung']"
slavery,['sklaverei']
hive,['bienenstock']
party,"['feiern', 'feier', 'partei']"
trot,['trab']
grouping,"['gruppieren', 'gruppierung']"
correspondent,"['korrespondent', 'korrespondenten']"
breccia,['brekzie']
turbocharger,['turbolader']
columnist,['kolumnist']
amount,"['betrag', 'höhe']"
dump,"['abladen', 'müllhalde']"
aircraft,"['luftfahrzeuge', 'luftfahrzeug', 'flugzeuge', 'flugzeug', 'luftfahrt']"
code,"['kodex', 'vorwahl', 'quelltext']"
lesbian,"['lesben', 'lesbisch', 'lesbe']"
mon,['mo']
canoeist,['kanute']
gallerist,['galerist']
facilitation,"['erleichterungen', 'erleichterung']"
scotsman,"['schotten', 'schotte']"
bolt,"['bolzen', 'schraube']"
footage,"['bildmaterial', 'filmmaterial', 'aufnahmen']"
wedge,['keil']
equatorial,"['äquatorial', 'äquatorialguinea']"
spread,"['verteilen', 'ausbreitung', 'verbreitung']"
delimitation,"['abgrenzungen', 'abgrenzung']"
jurisprudence,"['rechtsprechung', 'rechtswissenschaften', 'rechtswissenschaft']"
stone,"['steine', 'gestein', 'stein']"
obscure,"['obskuren', 'verschleiern']"
aphorism,['aphorismus']
amphibolite,['amphibolit']
nozzle,"['düse', 'düsen']"
soothsayer,['wahrsager']
federalism,['föderalismus']
capability,"['fähigkeit', 'kapazität', 'befähigung', 'leistungsfähigkeit']"
undertaker,['bestatter']
carthage,['karthago']
dysentery,['ruhr']
bromine,['brom']
retribution,"['rächen', 'vergeltung']"
character,"['figur', 'zeichen', 'charakter']"
dental,"['zahnmedizin', 'zahnärzte', 'zahnarzt', 'zahnärztliche']"
nonmetal,['nichtmetalle']
wandering,['umher']
triplicate,['dreifachen']
newsroom,['redaktion']
teamwork,"['teamarbeit', 'teamgeist', 'gruppenarbeit']"
former,"['ehemaligen', 'ehemaliger', 'ehemalige', 'frühere']"
plywood,['sperrholz']
thousand,"['eintausend', 'tausend']"
periphery,"['randlage', 'peripherie', 'randgebiete']"
ibidem,['ebendort']
goddess,['göttin']
trust,"['trauen', 'vertrauen', 'vertraue']"
private,"['privater', 'privat', 'privatleben', 'privaten']"
histology,['histologie']
formatting,"['formatieren', 'formatierung', 'formatiert']"
sidecar,['beiwagen']
grasp,"['begreifen', 'fassen', 'greifen']"
invariance,['invarianz']
latin,"['lateinamerika', 'lateinische', 'lateinisch', 'latein']"
squire,"['knappen', 'knappe']"
vegetable,"['pflanzlichen', 'pflanzliche', 'gemüse']"
cut,"['ausschneiden', 'schnitt', 'schneiden', 'abschneiden']"
operates,"['betreibt', 'operiert']"
legacy,"['erbschaft', 'vermächtnis', 'erbe']"
shoulder,"['schultern', 'schulter']"
australian,"['australische', 'australier', 'australischen']"
goblet,"['pokal', 'becher', 'kelch']"
privacy,"['privatsphäre', 'privatleben', 'datenschutz']"
turret,['turm']
abatement,['minderung']
bomber,['attentäter']
curlew,['brachvogel']
quadrant,['quadranten']
calligraphy,['kalligraphie']
humanism,['humanismus']
dormitory,"['wohnheim', 'schlafsaal']"
maoist,['maoistischen']
deforestation,"['abholzung', 'entwaldung']"
extraction,"['extraktion', 'extrahieren', 'gewinnung']"
case,"['rechtssache', 'fall']"
munich,['münchen']
microscope,['mikroskop']
foyer,"['empfangshalle', 'eingangshalle']"
christchurch,['neuseeland']
eulogy,"['grabrede', 'nachruf']"
reserved,"['vorbehalten', 'reservierten', 'reservierte', 'reserviert']"
delay,"['verspätung', 'verzögert', 'verzögern', 'verzögerungen', 'verzögerung']"
receipt,"['quittung', 'beleg']"
transmittance,['durchlässigkeit']
whisky,['whiskey']
speaking,"['sprechen', 'sprechend', 'spricht']"
electrolyte,['elektrolyt']
permanent,"['permanente', 'dauerhaft', 'ständige', 'ständigen']"
wifi,['wlan']
rot,['verrotten']
canister,['kanister']
yearning,['sehnsucht']
yeshiva,['jeschiwa']
part,"['teilweise', 'teil']"
illegality,['rechtswidrigkeit']
bikers,"['radfahrer', 'biker', 'motorradfahrer']"
momma,['mama']
hurrah,['hurra']
theocracy,['theokratie']
commenting,['kommentieren']
youngest,"['jüngste', 'jüngsten', 'jüngstes', 'jüngster']"
picking,['pflücken']
indirect,"['mittelbar', 'indirekt', 'indirekte', 'indirekter', 'indirekten']"
darkest,['dunkelsten']
costume,"['kostüm', 'kostüme']"
derivative,"['derivat', 'derivate', 'abgeleitete', 'ableitung']"
dentistry,"['zahnmedizin', 'zahnärzte']"
branding,['markenzeichen']
rad,['krass']
fund,"['fonds', 'finanzieren']"
taxation,"['besteuerung', 'steuerwesen', 'steuerrecht', 'steuern']"
coadjutor,['koadjutor']
poetics,['poetik']
announcer,"['kommentator', 'ansager']"
borrow,"['ausleihen', 'leihen']"
lifting,"['anheben', 'aufhebung', 'heben']"
okay,['ok']
tenement,['mietshaus']
answer,"['antworte', 'antworten', 'antwort', 'beantwortung']"
entirety,['gesamtheit']
spent,"['verbracht', 'verbrauchte', 'verbrachte', 'ausgegeben']"
aligns,['richtet']
sunken,['versunkene']
