Korean,German
단속,"['razzia', 'niederschlagung']"
장애물,"['hürde', 'hindernisse', 'springen', 'behinderung', 'hemmnisse', 'springt', 'springe', 'hürden', 'sprünge', 'hüpfen', 'hindernis']"
방치,"['vernachlässigen', 'vernachlässigung', 'nachlässigkeit', 'vernachlässigt']"
중지,"['aufhören', 'stopp', 'haltepunkt', 'aufhalten', 'abbruch', 'stoppen', 'anhalten', 'abbrechen']"
벨소리,"['klingelton', 'klingeltöne']"
입체,"['feste', 'massiv', 'festen', 'solide', 'fest']"
벙어리,"['blöd', 'dämlich', 'dumm', 'doof', 'stumm']"
프로덕션,"['erzeugung', 'fertigung', 'produktion', 'herstellung', 'produktionen']"
엉덩이,"['arsch', 'hüfte', 'hintern', 'gesäß', 'hüften']"
법학,"['rechtswissenschaft', 'recht', 'rechtsprechung', 'gesetze', 'gesetz', 'rechtswissenschaften']"
군주,"['monarchen', 'monarchie']"
구출,"['retten', 'bergung', 'rettungs', 'rettet', 'rettung', 'errettet']"
노름,"['normalfall', 'regel']"
수사관,"['ermittler', 'forscher']"
점화,"['entzündung', 'zündung', 'glühen', 'zünden']"
쐐기,['keil']
추기경,['kardinäle']
출퇴근,"['pendeln', 'pendler', 'pendelverkehr']"
영사,['konsul']
안내원,['rezeption']
프린팅,"['druckmaschinen', 'drucken', 'druck', 'druckereien', 'druckerei']"
음식점,"['ortschaften', 'küche', 'kochen', 'plätze', 'orte', 'essen', 'gaststätte']"
문자,"['charakter', 'figur', 'zeichen', 'texte', 'schriftzeichen', 'skript', 'skripts', 'drehbuch', 'charaktere', 'buchstaben', 'figuren', 'schrift']"
평화,"['friedens', 'friede', 'frieden']"
논리,"['logik', 'logisch']"
주름,['falten']
상인,"['kaufmann', 'kaufleute']"
여신,['göttin']
후퇴,"['rückzug', 'zurückziehen']"
하얀색,"['weiß', 'weißen', 'weiss', 'weisse', 'weiße']"
벤치,"['bänke', 'bank', 'bänken']"
폭풍,"['sturm', 'gewitter', 'stürme', 'stürmen', 'unwetter']"
스퀘어,"['rechteck', 'quadratisch', 'platz', 'quadrat']"
옥수수,"['mais', 'getreide', 'korn']"
개조,['modifikationen']
디펜스,"['verteidigungspolitik', 'verteidigungsministerium', 'abwehr', 'selbstverteidigung', 'verteidigung']"
와이프,"['gemahlin', 'frau', 'weib', 'ehefrau']"
부모,"['muttergesellschaft', 'mutterunternehmen', 'elternteil', 'eltern']"
역설,"['paradoxa', 'paradoxe', 'widerspruch', 'paradoxon']"
프랑,"['francs', 'franken']"
신발,"['schuhindustrie', 'schuh', 'schuhe', 'schuhen']"
와이드,"['breiten', 'breit', 'breite', 'breiter']"
다각형,['polygone']
시도,"['versuchen', 'versucht', 'versuch']"
스승,"['lehrer', 'lehrerin', 'dozent']"
파시스트,"['faschismus', 'faschistischen', 'faschistische', 'faschisten']"
방수,"['abdichtung', 'wasserdicht']"
놀이터,"['spielplätze', 'kinderspielplatz', 'spielplatz', 'spielfeld']"
스페셜,"['spezial', 'spezielle', 'spezialitäten', 'besonderheiten', 'besonderes', 'spezielles', 'besondere', 'angebote']"
재킷,"['jacke', 'jacken', 'jackett']"
대피,"['evakuieren', 'evakuiert', 'evakuierung']"
몸매,"['karosserie', 'körper', 'stelle']"
구류,"['sorgerecht', 'gewahrsam', 'verwahrung', 'untersuchungshaft']"
보고,"['bericht', 'berichterstattung', 'berichte', 'melden', 'meldung']"
리콜,['rückruf']
독성,"['giftig', 'toxizität', 'giftige', 'toxische', 'toxisch', 'schädlichkeit']"
흡연,"['rauchen', 'nichtraucher', 'raucher']"
소시지,"['würstchen', 'würste', 'wurst']"
고백,"['gestehe', 'gestehen', 'geständnisse', 'beichten', 'geständnis', 'gesteht', 'bekenntnis', 'beichte']"
통조림,"['konservierung', 'konserven', 'dosen']"
여동생,"['schwägerin', 'schwester']"
브레이크,"['bremse', 'pause', 'bremsanlage', 'auszeit', 'bremsen', 'brechen', 'bruch']"
사과,"['entschuldigungen', 'entschuldigt', 'äpfeln', 'äpfel', 'entschuldige', 'apfel', 'entschuldigung', 'entschuldigen']"
조끼,"['weste', 'westen']"
장어,"['aal', 'aalen', 'aale']"
제국주의,['imperialismus']
스머프,"['schlümpfe', 'schlumpf']"
판타지,"['phantasie', 'fantasie', 'fantasien']"
곱셈,"['vermehrung', 'vervielfachen', 'multiplizieren', 'multipliziert', 'multiplikation']"
감시,"['bewachung', 'überwachung', 'wächter', 'videoüberwachung']"
탤런트,"['begabung', 'talente', 'talent', 'talenten']"
아래층,['unten']
해결책,"['lösung', 'systemlösungen', 'lösungen']"
전염병,"['seuchen', 'seuche', 'pest', 'plage']"
인종,"['wettrennen', 'rasse', 'rennen', 'rassen']"
병신,"['arsch', 'arschloch']"
머리,"['haarfarbe', 'frisur', 'haare', 'leiter', 'haupt', 'kopf', 'haar']"
소란,['störung']
프랙탈,['fraktale']
동반자,"['gefährte', 'kamerad', 'gefährten', 'begleiter']"
척추,"['rückgrat', 'wirbelsäule']"
산악,"['gebirge', 'berge', 'berg', 'bergwelt']"
기관,['träger']
퇴직,"['ruhestand', 'ausgemustert', 'pensionierung', 'ehemaliger', 'rente', 'rentner', 'emeritierung', 'zurückgezogen']"
제초제,['herbizid']
고고학,"['antiquitäten', 'archäologie', 'archäologische', 'archäologischen']"
법원,"['hof', 'gericht', 'gerichten', 'höfe', 'gerichte', 'gerichtsgebäude', 'gerichtshof', 'gerichtshofes', 'hofe']"
탐험,"['erkunden', 'erkundung', 'entdecke', 'entdecken', 'expeditionen', 'forscher', 'erforschen', 'erforschung', 'entdecker', 'entdeckungsreise']"
분위기,"['stimmung', 'erdatmosphäre', 'atmosphäre', 'stimmungen', 'ambiente', 'gelaunt', 'laune']"
행진곡,"['marsch', 'märz']"
링크,"['verweise', 'verknüpfung', 'verbindung', 'verlinken', 'verknüpfungen', 'verlinkung', 'verbindungen']"
허리,"['taille', 'hüfte']"
캐러밴,"['karawane', 'wohnwagen', 'wohnmobil']"
반응,"['interaktion', 'ansprechen', 'antwort', 'reaktion', 'interaktionen', 'wechselwirkung', 'reaktionen', 'wechselwirkungen']"
회피,"['vermeidung', 'vermeiden']"
마비,"['gelähmt', 'lähmung']"
황무지,"['wüste', 'wildnis']"
탑승,"['bord', 'pension', 'einsteigen']"
스위트,"['suiten', 'suite']"
컴퓨터,"['computer', 'computern', 'informatik', 'datenverarbeitung', 'rechner']"
자연,"['natürliche', 'natürlichen', 'naturschutz', 'natürliches', 'natürlicher', 'natur']"
교사,"['lehre', 'lehren', 'unterricht', 'lehrkräfte', 'lehrerinnen', 'unterrichten', 'lehrerin', 'dozenten', 'lehrer', 'dozent']"
벌크,"['lose', 'masse', 'massen', 'großteil', 'hauptteil']"
인상주의,['impressionismus']
분지,"['becken', 'waschbecken', 'schüssel', 'einzugsgebiet']"
선반,"['regal', 'regale', 'ablage', 'haltbar', 'haltbarkeit', 'drehmaschine']"
가격,"['preise', 'preispolitik', 'preisen', 'preisliste', 'preisgestaltung', 'preis']"
구원자,"['hilfsprogramm', 'erlöser', 'helfer', 'retter']"
달팽이,"['schnecke', 'geschoss', 'schnecken']"
범죄자,"['strafrecht', 'kriminell', 'kriminalität', 'kriminelle', 'kriminellen', 'täter', 'verbrecher', 'straftäter']"
다중,"['mehrfache', 'vielzahl', 'mehrere', 'mehrfach', 'vielfachen']"
해방,"['befreiung', 'freilassung', 'emanzipation']"
레지스터,"['eintragen', 'anmelden', 'anmeldung', 'registrieren', 'registrierung', 'register', 'verzeichnisse']"
판매,"['verkaufen', 'umsatz', 'vertrieb', 'umsätze', 'verkauft', 'verkäufe', 'verkauf', 'verkaufe', 'verkauften', 'verkaufte']"
숭배,"['gottesdienst', 'anbeten', 'sekte', 'kult', 'verehrung', 'verehren', 'dient', 'anbetung']"
매질,['prügelstrafe']
응답,"['erwiderung', 'reagieren', 'ansprechen', 'antwort', 'antworten', 'reaktion', 'beantwortung', 'antworte', 'reaktionen']"
펄프,"['zellstoff', 'brei', 'schnitzel']"
트럼프,['trumpf']
파라오,"['pharaonen', 'pharaos', 'pharao']"
정밀,"['präzision', 'präzise', 'genauigkeit', 'präzises']"
걱정,"['besorgt', 'besorgnis', 'sorgen', 'beunruhigt', 'besorgte', 'sorge']"
시선,"['beachtung', 'achtung', 'aufmerksamkeit', 'aufgepasst']"
사례,"['fallbeispiele', 'fällen', 'fälle', 'fall', 'rechtssache']"
산책로,['strandpromenade']
방산,['ausstrahlen']
지정,"['angegebenen', 'angegebene', 'spezifizierte', 'angeben', 'angegeben', 'spezifizieren', 'spezifiziert']"
욕심,"['gier', 'gierig']"
채팅,"['unterhaltungen', 'plaudern', 'chatten']"
이전,"['auswandern', 'vorheriger', 'migrieren', 'älterer', 'älter', 'vorhergehende', 'früheren', 'davor', 'vorherige', 'bevor', 'migration', 'frühere', 'ältere', 'vorher', 'älteres', 'zuvor', 'älteren', 'vor']"
처녀자리,['jungfrau']
감시자,['wächter']
토요일,"['samstags', 'samstag']"
카네이션,"['nelke', 'nelken']"
액체,"['fließend', 'flüssig', 'flüssige', 'flüssigkeiten', 'flüssigkeit']"
만성,"['chronischen', 'chronisch', 'chronischer', 'chronische']"
사회,"['soziales', 'sozial', 'soziale', 'gesellschaft', 'sozialer', 'sozialen']"
귀하,"['ihr', 'dich', 'du', 'sie', 'dir']"
안면,"['gesichts', 'gesicht']"
스피커,"['rednerin', 'redner', 'sprecher', 'referenten', 'lautsprecher']"
파이널,"['abschlussprüfung', 'endrunde', 'endgültige', 'finale', 'endspiel', 'letzte', 'endgültigen', 'endgültig']"
스완,['schwan']
예시,"['fallbeispiele', 'beispiele', 'beispielen', 'beispiel', 'vorbilder']"
영향력,"['auswirkungen', 'beeinflussung', 'einfluß', 'einfluss', 'wirkung', 'einflussnahme', 'beeinflussen', 'auswirkung']"
코코아,"['kakao', 'kakaobutter']"
이민자,"['einwanderer', 'zuwanderer', 'immigranten']"
수수료,"['gebühr', 'gebühren', 'honorar']"
챕터,['kapitel']
검사관,"['kommissar', 'inspektoren', 'prüfer', 'inspektor']"
협의,"['konsultation', 'anhörung', 'konsultationen']"
단식,['fasten']
음성,"['rede', 'sprache', 'vortrag', 'negativ', 'stimme', 'gesang', 'ansprache', 'negativen', 'negativer', 'negatives']"
텐트,"['zelten', 'zelt', 'zelte']"
기준,"['kriterien', 'kriterium', 'auswahlkriterien']"
플룻,['flöte']
포함,"['darunter', 'inbegriffen', 'umfassen', 'eingeschlossen', 'einschliesslich', 'enthalten', 'inklusive', 'aufgenommen', 'beinhalten', 'einschließen', 'enthält', 'einschließlich', 'beinhaltet', 'umfasst']"
리무진,"['limousinen', 'limousine']"
패턴,"['mustern', 'muster']"
영화,"['kinos', 'folien', 'film', 'spielfilm', 'kino', 'filme', 'filmen', 'kinofilm']"
억제제,"['hemmung', 'hemmer', 'inhibitoren']"
대장,['doppelpunkt']
템포,"['geschwindigkeit', 'rhythmus']"
셔터,['blende']
그램,['gramm']
유탄,['granate']
사본,"['handschrift', 'kopie', 'abschrift', 'manuskripte', 'manuskript', 'kopieren', 'exemplare', 'kopien']"
배우,"['schauspieler', 'schauspielerinnen', 'darsteller', 'schauspielerin', 'akteure', 'akteur']"
스탠바이,"['bereithalten', 'bereitschaft']"
응용,"['beantragte', 'angewandt', 'angewendet', 'angewandte']"
계층,"['hierarchie', 'schichtung', 'hierarchische', 'ebene', 'rangordnung', 'hierarchischen', 'schicht', 'hierarchisch', 'hierarchien']"
인스트루먼트,"['instrumente', 'messgeräte']"
특기,"['fachgebiete', 'spezialitäten']"
논증,"['argumente', 'streit']"
소지,"['besitz', 'besitzes', 'besessenheit']"
수익,"['gewinne', 'gewinn', 'ausbeute', 'ergebnis', 'umsatz', 'einkünfte', 'erlöse', 'einnahmen', 'erträge', 'rendite', 'profite', 'ertrag', 'einkommen']"
재생,"['spielt', 'wiedergeben', 'spiele', 'stücke', 'spielen', 'wiederholen', 'abspielen', 'wiedergabe', 'stück', 'wiederholung', 'spiel']"
개별,"['einzelperson', 'einzel', 'individuell', 'einzelnen', 'individuelle', 'einzeln', 'individuum']"
컨텐츠,"['inhalte', 'gehalt', 'inhalten', 'inhalt']"
다용도,['mehrzweck']
튤립,['tulpen']
다원주의,['pluralismus']
실행,"['start', 'einführung', 'ausführung', 'durchführung', 'starten', 'hinrichten', 'lauf', 'exekution', 'ausführen', 'laufen', 'markteinführung', 'hinrichtung']"
아파트,"['ferienwohnungen', 'ferienwohnung', 'wohnungen', 'wohnung']"
모금,['spendenaktion']
농장,"['hof', 'bauernhöfe', 'höfe', 'bauernhaus', 'bauernhof', 'betriebe', 'landgut', 'landwirtschaft', 'ackerbau']"
상처,"['wunde', 'wunden']"
렌즈,"['kontaktlinsen', 'objektive', 'linse', 'objektiven', 'objektiv', 'linsen']"
토이,"['spielzeug', 'spielzeuge', 'spielwaren']"
성단,"['anhäufung', 'schwarm']"
사랑,"['lieben', 'liebste', 'liebes', 'liebe']"
귀걸이,"['ohrringe', 'ohrring']"
악기,"['instrumente', 'urkunde', 'messgeräte']"
베테랑,['veteranen']
소성,['plastizität']
초록,"['grüne', 'grün', 'grünen']"
교정,"['klammern', 'korrigiert', 'korrigieren', 'kalibrierung', 'berichtigung', 'berichtigte', 'korrektur', 'kalibrieren', 'korrigierte', 'berichtigt']"
대부분,"['meistens', 'hauptsächlich', 'überwiegend', 'meist', 'meisten', 'größtenteils']"
벚나무,['kirsche']
기초,"['grundlegendes', 'grundlegenden', 'grundlage', 'grundlegende']"
단말기,"['vorrichtung', 'gerät']"
프레스,"['drücken', 'pressemitteilungen', 'presse']"
재앙,"['katastrophe', 'desaster', 'katastrophen']"
초록색,"['grüne', 'grün', 'grünen']"
키드,"['junge', 'kind']"
대사관,"['botschaften', 'konsulate', 'botschaft']"
정직,"['aufrichtigkeit', 'ehrlichkeit', 'ehrlichen', 'aufrichtig', 'ehrliche', 'ehrlich']"
오두막,"['hütte', 'ferienhäuser', 'ferienhaus', 'häuschen', 'kabinen', 'kabine', 'landhaus']"
자리,"['sitzplatz', 'sitzplätze', 'sitz', 'plätze', 'sitze']"
착용,"['verschleiß', 'tragbare', 'tragbar', 'tragen']"
섭취,"['einnahme', 'zufuhr', 'nahrungsaufnahme']"
추위,"['kalte', 'erkältung', 'kalt', 'kälte']"
정보학,"['datenverarbeitung', 'informatik']"
학년,"['besoldungsgruppe', 'klasse', 'grad']"
비어,"['leeres', 'leer', 'leerer', 'leere', 'leeren']"
그라운드,"['boden', 'erdboden', 'erdgeschoss', 'gemahlen']"
미식,"['küche', 'kochen', 'gastronomie', 'feinschmecker']"
개요,"['übersicht', 'überblick']"
발발,"['fuss', 'fuß', 'füße', 'füsse', 'füssen']"
에스트로겐,['östrogen']
대학생,"['kollegium', 'hochschule']"
지침,"['anleitung', 'anweisungen', 'hinweise', 'instruktionen', 'richtlinien', 'leitsätze', 'anleitungen', 'leitlinien']"
집주인,"['vermieterin', 'vermieter']"
개시,['einleitung']
지각,"['spät', 'erkenntnis', 'späte', 'wahrnehmung']"
빨간색,"['roten', 'rot', 'rotwein', 'rote']"
북서쪽,"['nordwesten', 'nordwest']"
단추,"['schaltflächen', 'knöpfen', 'schaltfläche', 'tasten', 'knöpfe', 'knopf', 'taste']"
팔레트,['paletten']
이분법,['dichotomie']
그릇,"['schüssel', 'schalen', 'schale', 'schüsseln']"
비즈니스,"['unternehmen', 'geschäftlich', 'wirtschaft', 'geschäfte', 'geschäft']"
포켓,['tasche']
무용수,"['tänzerinnen', 'tänzer']"
배틀,"['kampf', 'gefecht', 'schlacht']"
비행,"['flüge', 'fliegen', 'flug', 'flugverbindungen', 'fliegende']"
엘리베이터,"['lift', 'aufzügen', 'aufzüge', 'fahrstuhl', 'aufzug']"
무명,['namenlosen']
치명적,"['tödliche', 'tödlicher', 'tödlich', 'lebensgefahr', 'tödlichen']"
조정,"['berichtigungen', 'anpassungen', 'berichtigung', 'anpassung', 'anpassen']"
경고,"['warnungen', 'warne', 'warnung', 'warnhinweis', 'wachsam', 'achtung', 'vorsichtig', 'alarm', 'warnt', 'vorsicht', 'warnen', 'ausschreibung', 'warnhinweise']"
남쪽,"['süd', 'süden', 'südlich']"
잠재,"['mögliche', 'potentielle', 'latente', 'potenzial']"
제공자,"['versorger', 'dienstleister', 'anbieter']"
지질학,"['geologen', 'geologie', 'geologische', 'geologischen', 'geologe']"
신입생,['erstsemester']
소화,"['verdaut', 'verdauung', 'kompendium', 'verdauen', 'nachschlagewerk']"
두루미,"['kräne', 'kran']"
의심,"['zweifelhafte', 'misstrauen', 'verdacht', 'bedenken', 'fraglich', 'vermutet', 'verdächtig', 'verdächtige', 'verdächtigen', 'bezweifeln', 'zweifelhaft', 'vermutete', 'verdächtiger', 'zweifel', 'zweifeln', 'bezweifle', 'misstrauisch', 'verdächtigt']"
체조,['gymnastik']
자라,"['wachsen', 'wächst', 'anbauen']"
민주화,"['demokratie', 'demokratisierung']"
전리품,"['plündern', 'hintern', 'plünderungen', 'verwöhnt', 'beute', 'plünderung', 'verdirbt']"
데스,"['tode', 'todes', 'todesstrafe', 'tod']"
소울,"['seele', 'seelen']"
스쿼드,"['kader', 'einheit']"
저주,"['verflucht', 'flüche', 'fluchen', 'verfluchen', 'verfluchte', 'fluch', 'verfluchten']"
마이크로,"['mikro', 'mikrofone', 'mikroorganismen', 'kleinstunternehmen', 'mikrophon', 'mikrofon']"
솔로,"['allein', 'alleine']"
희귀,"['seltenes', 'seltener', 'seltenheit', 'seltene', 'selten']"
사양,"['vorschriften', 'spezifikation', 'spezifizierung', 'spezifikationen']"
스테이션,"['tankstellen', 'stationen', 'bahnhöfe', 'haltestellen']"
고전주의,"['klassisch', 'klassik', 'klassizismus', 'klassische', 'klassiker', 'klassischen']"
재정,"['finanzierung', 'finanzen', 'finanzierungen', 'finanzwesen', 'finanziell']"
안내서,"['reiseführer', 'leitfaden', 'handbuch', 'ratgeber', 'führer']"
징후,"['anwendungsgebiete', 'indikationen', 'indikation']"
쇼케이스,"['schaufenster', 'präsentieren']"
인터랙티브,"['interaktives', 'interaktiver', 'interaktiv', 'interaktive', 'interaktiven']"
연구자,"['forscher', 'forscherinnen', 'wissenschaftlerin', 'wissenschaftler']"
외교관,['diplomaten']
소환,"['klingel', 'klingeln', 'ladung', 'gerufen', 'vorladung', 'läuten']"
질환,"['krankheiten', 'erkrankungen', 'krankheit', 'erkrankung', 'seuche']"
박탈,"['berauben', 'widerruf', 'widerrufen']"
우울,"['deprimiert', 'depressiv', 'depressionen', 'melancholie']"
모퉁이,"['ecke', 'ecken', 'eck']"
맥주,"['brauereien', 'biergarten', 'brauerei', 'bier', 'biere']"
갈색,"['dunkelbraun', 'braun', 'braune']"
대시,"['bindestriche', 'armaturenbrett', 'strichen', 'strich', 'striche', 'gedankenstrich', 'bindestrich']"
콘테스트,"['wettkampf', 'wettbewerb', 'gewinnspiel', 'wettbewerbe', 'wettbewerben', 'wettkämpfe']"
안보,"['sicherheits', 'sicherheitspolitik', 'sicherheit']"
현미경,"['mikroskopie', 'mikroskop']"
디렉터,"['direktor', 'regisseurin', 'direktorin', 'leitung']"
대류,['konvektion']
청년,"['jugendlichen', 'jugend', 'jugendliche']"
위층,"['obergeschoss', 'oben']"
즐거움,"['freuden', 'genuss', 'freude', 'geniessen', 'vergnügen', 'genießen', 'unterhaltsam', 'angenehm']"
주차,"['geparkt', 'parkmöglichkeiten', 'parkplatz', 'tiefgarage', 'parkplätze']"
팝스,['pop']
올빼미,"['eulen', 'eule']"
난이도,"['schwierigkeitsgrad', 'schwierigkeit', 'schwierigkeiten']"
생계,"['lebensunterhalt', 'lebensgrundlage']"
패스,"['vergehen', 'bestanden', 'übergeben', 'weitergeben']"
갑옷,"['rüstung', 'rüstungen']"
손상,"['beschädigung', 'beschädigte', 'beschädigt', 'geschädigt', 'schädigung', 'schaden', 'schäden']"
오늘,"['heute', 'heutigen', 'heutige']"
목걸이,"['halsband', 'kette', 'halsketten', 'halskette']"
사각형,"['quadratisch', 'rechteck', 'rechteckigen', 'rechteckig', 'quadrat', 'platz', 'rechteckige']"
타악기,['schlagzeug']
수출,"['exporte', 'exportieren', 'ausfuhr', 'exportiert', 'ausfuhren']"
말투,['akzent']
유도탄,"['flugkörper', 'rakete']"
전시,"['ausstellung', 'ausstellen']"
집안,"['haushalt', 'haushalte', 'haushalts', 'haushaltsgeräte']"
저자,"['autoren', 'verfasser', 'schriftsteller', 'autor', 'autorin']"
메일,['post']
마법사,"['assistent', 'magier', 'assistenten', 'zauberer']"
세로,"['porträts', 'senkrecht', 'vertikale', 'porträt', 'vertikalen', 'senkrechte', 'vertikal']"
비행선,['luftschiff']
석류,"['granatäpfel', 'granatapfel']"
고집,['stur']
합법,"['legalität', 'legitimierung', 'zulässigkeit', 'legitimität', 'rechtmäßigkeit', 'legitimation']"
원숭이,"['affen', 'affe']"
천정,"['haube', 'baldachin', 'zenit']"
충전,"['gebühr', 'aufladen', 'aufladung']"
야채,"['pflanzliche', 'pflanzlichen', 'gemüse']"
트랜스,['transeuropäischen']
메탈,"['metall', 'metallverarbeitung', 'metallbearbeitung', 'metalle']"
죄책감,"['schuldgefühle', 'schuld']"
웨이팅,"['weg', 'weise']"
딱지,['schorf']
독일인,"['deutscher', 'deutschen', 'deutsche', 'deutsch']"
부어,"['anschwellen', 'geschwollen', 'schwellungen', 'schwellung']"
귀족,"['edle', 'aristokratie', 'edlen', 'adel', 'edler', 'adligen', 'aristokratische', 'edel']"
조종,"['manipulieren', 'manipuliert']"
모기지,"['hypotheken', 'hypothek']"
교장,['schulleiter']
코카콜라,"['kokain', 'koks', 'kokerei', 'cola']"
방침,"['politik', 'richtlinien']"
결승,"['abschlussprüfung', 'endrunde', 'endspiel', 'finale']"
비스킷,"['gebäck', 'keks', 'plätzchen', 'kekse']"
모자,"['hüten', 'hut', 'kappe', 'hüte', 'mütze', 'mützen']"
사서함,"['briefkästen', 'briefkasten', 'postfach']"
달러,"['dollar', 'dollars']"
챔피언스,['meister']
리그,"['ligen', 'liga']"
모기,"['mücken', 'mücke']"
임펄스,['impuls']
기사도,['ritterlichkeit']
감정,"['emotion', 'gefühle', 'emotionale', 'emotionalen', 'emotionaler', 'gefühl', 'gefühlen', 'emotionen']"
럭셔리,"['luxuriös', 'luxushotels', 'luxuriöse', 'luxushotel', 'luxus']"
의존,"['abhängigkeit', 'abhängigkeiten']"
트레이드,"['handel', 'warenverkehr', 'außenhandel']"
전시회,"['ausstellungen', 'ausstellung', 'messen', 'exponate', 'messezentrum', 'ausstellen', 'messegelände']"
대략,"['annähernd', 'über', 'etwa', 'ungefähr']"
오리엔테이션,"['orientierung', 'ausrichtung']"
근절,"['beseitigen', 'ausrottung', 'auslöschen']"
아래,"['darunter', 'unterer', 'unterhalb', 'unten', 'unterseite']"
면제,"['verzicht', 'befreit']"
섬광,['blendung']
도전,"['herausforderungen', 'herausforderung']"
베리,['beeren']
주먹,"['fäuste', 'faust']"
대마초,['hanf']
커플,"['paar', 'paare', 'pärchen', 'ehepaar', 'paaren']"
활성,"['aktiven', 'aktiver', 'aktive', 'aktiv', 'wirkstoffe']"
왈츠,['walzer']
밝기,['helligkeit']
여성,"['frauen', 'weib', 'frau', 'weibliche', 'hündinnen', 'weibchen', 'weiblich']"
발효,['gärung']
장난꾸러기,"['unanständig', 'boshaft', 'frech', 'verspielt']"
관측자,"['beobachtern', 'beobachter']"
미터,"['messgeräte', 'zähler', 'metern', 'messgerät', 'meter']"
태반,['plazenta']
기분,"['stimmung', 'fühlen', 'gefühle', 'stimmungen', 'spüren', 'gelaunt', 'laune', 'gefühl', 'fühle']"
스토리텔링,"['erzählung', 'geschichten']"
보람,"['belohnen', 'lohnend']"
저작권자,"['urheberrechts', 'urheber', 'urheberrecht', 'urheberrechte']"
상주,"['wohnhaft', 'wohnsitz', 'ansässig']"
파일,"['akten', 'datei', 'dateien']"
도서관,"['bücherei', 'bibliothek', 'bibliotheken']"
권위주의,"['autoritären', 'autoritäre', 'autoritarismus']"
양귀비,['mohn']
달리기,"['läuft', 'rennt', 'läufer', 'lauf', 'ausführen', 'laufen']"
튜토리얼,"['schulung', 'übungen', 'anleitung', 'lehrgang', 'anleitungen']"
이슈,"['ausgabe', 'thema', 'heft', 'probleme', 'themen']"
헤센,['hessen']
가능,"['mögliche', 'möglicher', 'möglichen', 'möglich']"
텍스트,['texte']
사무실,"['niederlassungen', 'niederlassung', 'geschäftsstelle', 'büros', 'büro', 'amt', 'büroräume']"
일러스트레이터,['zeichner']
호랑이,['tiger']
모세,"['musa', 'mose']"
물리,"['physik', 'physiker', 'physischen', 'körperlich', 'physische', 'physischer', 'physisch', 'körperliche']"
피크닉,['picknick']
배설,['ausscheidung']
즉석,"['augenblick', 'augenblicklich', 'sofort']"
엔딩,"['endet', 'enden', 'ende']"
콜라,"['kokain', 'koks', 'kokerei', 'cola']"
질량,"['masse', 'massen']"
번역기,"['übersetzen', 'übersetzer', 'übersetzungen', 'dolmetscher', 'übersetzung', 'übersetzerin']"
심문,"['abfrage', 'befragen', 'verhör', 'befragung', 'vernehmung', 'verhören']"
품질,"['qualitätssicherung', 'qualität', 'qualitätskontrolle']"
멜로디,"['melodien', 'melodie']"
방출,"['emissions', 'emissionen']"
양심,"['bewußtsein', 'bewusstsein', 'gewissen', 'gewissens']"
신혼여행,"['flitterwochen', 'hochzeitsreise']"
알루미늄,"['aluminium', 'alu']"
모바일,"['mobilfunk', 'mobilgeräte', 'handys', 'beweglich', 'mobil']"
가든,"['garten', 'gartenanlage', 'gartens']"
암살,"['mörder', 'attentate', 'ermorden', 'attentäter', 'mörderin', 'ermordung', 'mord', 'attentat', 'anschlag', 'ermordet', 'killer']"
단자,"['anschluss', 'steckverbinder', 'stecker']"
중독자,"['abhängig', 'abhängige', 'süchtig']"
동성애,['homosexualität']
도메인,"['bereich', 'domänen', 'bereiche', 'domäne', 'domain']"
문명,"['kulturen', 'zivilisation', 'kulturgeschichte', 'zivilisationen', 'kultur']"
입원,['krankenhausaufenthalt']
고조,"['erhöhte', 'gesteigerte', 'erhöht', 'erhöhter']"
방해,['unterbrechen']
파랑새,['blauer']
모뎀,['modem']
특별,"['spezial', 'spezielle', 'besonderes', 'spezielles', 'besondere']"
아몬드,"['mandel', 'mandeln']"
설문,"['meinungsumfragen', 'wahlen', 'befragungen', 'umfragen', 'meinungsumfrage', 'umfrage']"
순환,"['zyklen', 'zyklus', 'rundschreiben', 'kreislauf', 'zirkulation', 'durchblutung', 'auflage', 'umlauf', 'runden']"
제트기,['düsen']
재해,"['desaster', 'katastrophe', 'naturkatastrophen', 'katastrophenhilfe', 'katastrophen']"
사전,"['wörterbuch', 'wörterbücher']"
세탁기,['waschmaschine']
약혼녀,"['verlobte', 'verlobten']"
재판,"['studien', 'prozess', 'versuche', 'prozesse', 'testversion', 'verhandlung']"
실루엣,"['silhouetten', 'umrisse']"
가시나무,"['dorn', 'stachel']"
숙제,"['hausarbeit', 'heimarbeit', 'hausaufgaben']"
주기,"['zyklen', 'zeit', 'zyklus', 'zeitabschnitt', 'zeitraum', 'periode', 'kreislauf']"
그레이,"['graue', 'grau', 'grauen']"
채권자,"['gläubigern', 'gläubiger', 'kreditgeber']"
짝꿍,"['kamerad', 'paaren', 'kumpel']"
스토킹,['verfolger']
산화물,['oxid']
드라이브,"['fahren', 'antriebe', 'antriebstechnik', 'laufwerke', 'laufwerk', 'fährt', 'antrieb']"
협회,"['vereinigung', 'verbänden', 'assoziationen', 'vereinigungen', 'assoziation', 'vereine', 'verband', 'verein', 'verbände']"
지하철,['metrostation']
혼자,"['allein', 'alleine']"
세일러,"['seemann', 'matrosen', 'seefahrer', 'segler']"
