German,Korean
treffer,"['성냥', '일치하는', '일치합니다', '일치', '히트', '매치', '일치하기', '조회수']"
treppe,"['스텝', '계단', '단계', '걸음']"
trinken,"['음료', '마시기', '음주', '음료수']"
trocken,"['드라이', '건조']"
truhe,"['가슴', '가슴이', '흉부']"
träumen,"['드림', '공상', '꿈꾸고']"
tschechisch,"['체코', '체코어']"
typen,['유형']
typisch,"['전형적', '전형', '일반적으로', '전형적인']"
türen,['게이츠']
uhrzeit,"['시계', '클럭', '시간', '타임']"
umsetzung,"['구현', '깨달음']"
umwelt,['환경']
umzug,"['이사', '행진', '제거', '움직임', '퍼레이드']"
unabhängig,"['독립', '독립적']"
und,['그리고']
unentschieden,"['추첨', '넥타이', '그리기']"
ungarisch,"['헝가리어', '헝가리']"
unmittelbar,"['즉각', '즉시']"
unten,"['밑바닥', '바닥', '아래층', '아래', '아래에', '다운', '하단', '아래쪽', '아래로']"
untergrund,"['지하', '언더그라운드']"
unterhaus,['커먼즈']
unterseite,"['밑바닥', '바닥', '아래', '하단', '아래쪽']"
ursachen,['원인']
ursprünglich,"['원래', '오리지널', '원본']"
verarbeitung,"['프로세싱', '처리']"
verbinden,"['연결', '병합', '연결하기', '합치기', '통합', '결합']"
vereinen,"['단결하라', '단결']"
vereinigung,"['연방', '협회', '통일', '연맹']"
vergeben,['용서']
verhalten,"['행동', '행위', '동작']"
verkehr,"['트래픽', '교통량', '교통수단', '운송', '교통', '수송']"
verkürzung,['단축']
verlag,"['출판사', '퍼블리셔', '출판']"
verloren,"['로스트', '잃어버린', '분실']"
verlust,"['상실', '손실', '손해']"
vermissen,"['미스', '그리워']"
verordnung,"['규제', '규정']"
verschieden,"['다르다', '달라', '다름', '다양하다']"
versorgung,"['용품', '공급']"
versuchen,['시도']
verteilung,"['배포판', '배포', '분포', '분배']"
vertrag,"['합의', '협정', '계약서', '동의', '규약', '계약', '조약']"
vertrieben,['분산']
verwaltung,"['경영', '관리', '행정학']"
verwaltungs,['행정']
verzeichnis,"['디렉토리', '디렉터리', '폴더', '리스트', '목록', '명단']"
video,"['비디오', '동영상']"
viel,"['훨씬', '많이']"
villa,"['저택', '맨션']"
visum,['비자']
vogel,['조류']
voll,['가득']
vor,"['전에', '이전']"
vorbereitung,"['준비하기', '준비']"
vorfahren,['조상']
vorhersagen,"['예측', '예보']"
vorschlag,['제안']
wach,['깨어']
wagen,"['차량', '자동차', '카트']"
wahl,"['선택', '선거']"
waisen,"['고아', '고립']"
warm,"['뜨겁다', '덥다', '뜨거운']"
wegen,"['왜냐하면', '왜냐면']"
weiblich,"['여성', '암컷']"
weich,"['청량', '부드러운', '부드럽게', '소프트', '부드러워']"
weichen,['스위치']
weiden,['목장']
weise,"['지혜', '웨이팅', '지혜로운', '현명한', '웨이']"
weit,['멀다']
weiter,"['계속하기', '계속']"
weiß,"['하얗게', '하얀색', '화이트', '하얀', '흰색']"
welt,"['세계', '월드', '세상', '글로브']"
wenig,['리틀']
wert,"['가치가', '가치']"
wesen,"['본질', '생물', '생명체']"
westen,"['서쪽', '웨스턴', '서양', '웨스트', '조끼', '서부']"
westlich,"['서양', '서부', '웨스턴']"
wetten,"['도박', '베팅', '내기']"
wichtig,"['중요', '중요하다']"
widerstehen,['저항']
wie,['어떻게']
wieder,"['뒤로', '다시', '또다시', '재결합']"
wiedergabe,"['리플레이', '다시보기', '재생']"
wild,['사슴']
winden,['바람']
wirkstoff,['물질']
wirtschaftlich,['경제']
wirtschafts,['경제']
wissen,"['지식인', '지식']"
wissenschaft,"['사이언스', '과학']"
wissenschaftler,"['연구원', '과학자', '연구자']"
wissenschaftlich,['과학']
wochen,"['주간', '주일', '일주일', '매주']"
wochenend,"['주말', '주말에']"
wohnung,"['아파트', '플랫', '평평한']"
wolken,"['구름', '클라우드']"
wort,"['단어', '워드']"
wunderbar,['멋진']
wurm,['벌레']
wurzeln,"['루트', '뿌리기', '뿌리']"
zeichen,"['인물', '등장인물', '사인', '성격', '문자', '상징', '기호', '캐릭터', '서명']"
zeichnen,"['추첨', '그리기', '스케치']"
zeichner,"['일러스트레이터', '삽화가']"
zeilen,['라인']
zeit,"['시간', '주기', '시대', '기간', '타임']"
zeitpunkt,"['데이트', '타이밍', '타이밍이', '시간', '날짜', '타임']"
zeitschrift,"['저널', '잡지', '학술지', '학술', '매거진']"
zeitung,"['신문', '종이', '용지', '페이퍼']"
zement,['시멘트']
zentral,"['중부', '센트럴']"
zentrum,"['센터', '중심', '중앙']"
zerfallen,['붕괴']
zerlegung,"['해체', '부패', '분해']"
zivil,"['민간', '민간인']"
zubehör,"['용품', '공급', '악세사리', '액세서리']"
zurück,"['뒤로', '귀환', '반환', '복귀', '반납', '다시', '리턴']"
zusammenbruch,"['축소', '붕괴']"
zusammenfassung,"['요약', '추상화', '추상']"
zusammenschluß,"['합병', '농도']"
zwei,"['두두', '두분']"
zweit,"['두두', '두분']"
zwischen,['중간']
zählung,"['카운트', '인구조사', '열거']"
ähnlich,"['유사한', '비슷하게', '비슷한', '비슷함', '유사']"
öffentlich,"['공중', '공개', '공개적으로', '공공']"
öffnung,"['개봉', '오프닝', '조리개']"
östlich,"['이스트', '동쪽', '동부']"
über,"['대략', '비아', '소개']"
übersetzung,"['번역하기', '번역', '번역기']"
übertragung,"['위임', '방송', '변속기', '전송']"
übrig,['남음']
quoten,"['확률', '평가', '평점']"
unwohlsein,['불편함']
mathematischen,['수학']
elternteil,"['부모님', '부모']"
oberleitung,['오버헤드']
publikation,"['출판물', '출판']"
beate,['베아트리스']
kroatischen,"['크로아티아', '크로아티아인', '크로아티아어']"
luftfahrtunternehmen,['캐리어']
bauwerke,"['건물들', '구조', '건축물', '빌딩', '건물', '구조물']"
spielplatz,['놀이터']
ausfahrt,"['끝내기', '나가기', '종료', '출구']"
supermacht,['초강대국']
flieger,"['플라이어', '전단지']"
fantastische,"['판타스틱', '환상적']"
berechtigt,"['자격', '정당화']"
metallurgie,"['금속', '금속공학']"
begleitet,['동행']
empfängnisverhütung,"['피임약', '피임']"
mittelfeldspieler,['미드필더']
kalibrieren,"['보정', '교정']"
aufzeichnen,"['녹음', '녹화']"
leckerbissen,"['취급', '대접']"
kleinkinder,"['영아', '아기']"
domänen,"['도메인', '영역']"
auswahlkriterien,['기준']
einschränken,['제한']
zahlungsunfähigkeit,['파산']
essenz,['본질']
verlängert,"['확장', '연장']"
grausame,"['잔인한', '잔혹한']"
mantel,"['맨틀', '코트', '망토', '외투']"
rückschritt,"['역행', '회귀']"
schuppen,['저울']
dreharbeiten,"['총격', '촬영', '사격']"
augenblicke,['순간']
fürsorge,"['배려', '복지']"
eigenen,['소유']
khanat,['칸국']
thunfisch,['참치']
verbindungsstellen,['릴레이']
zurückziehen,"['인출', '후퇴', '수축']"
administrativen,['행정']
analytiker,['분석가']
relation,['비율']
kennzahlen,"['지표', '피규어', '수치']"
anlandung,"['착륙', '랜딩']"
filter,['필터']
beben,"['지진', '대지진', '퀘이크']"
befehle,"['명령', '사령부', '지휘', '커맨드', '주문', '명령어']"
kanusport,['카누']
helden,"['히어로즈', '히어로', '영웅']"
internationalen,"['국제', '인터내셔널']"
chinesen,"['중국인', '중국어']"
rosen,"['로즈', '장미']"
kennenlernen,['만나']
freundschaft,['우정']
lacht,"['웃음', '웃어', '웃어라']"
verknüpfte,['연결됨']
genitalien,['생식기']
aristoteles,['아리스토텔레스']
geophysikalische,['자연재해']
gewand,['가운']
kanadier,"['캐나다인', '캐나디안']"
anklage,"['고소', '기소', '청구']"
strände,"['비치', '바닷가', '해변']"
integrieren,['통합']
exzellente,['훌륭한']
ausstrahlen,"['발산', '방산']"
metallverarbeitung,"['금속', '메탈', '금속공학']"
warnhinweise,['경고']
nichte,['조카']
hunden,['개들']
einfachen,"['간단한', '단순한', '간단', '심플', '간단하다', '단순']"
inhalt,"['목차', '내용', '컨텐츠', '콘텐츠']"
ägypter,"['이집트인', '이집트', '이집트어']"
kuppel,['지붕']
sitzungen,"['세션', '회의', '미팅']"
grosse,['대형']
höhlen,"['동굴', '케이브']"
alfa,['알파']
dürre,['가뭄']
unglaublichen,['놀라운']
allgegenwärtig,['유비쿼터스']
rundgang,"['여행', '둘러보기', '관광', '투어', '구경']"
nationalsozialismus,['나치즘']
ungarn,"['부다페스트', '헝가리']"
rassistisch,['인종차별']
absteigen,['강림']
tempo,"['페이스', '속도']"
verschlimmert,['악화']
geheimdienst,['지능']
bekämpfen,"['파이팅', '싸우다', '싸워', '싸워라', '싸움', '싸우기', '전투', '컴뱃']"
plastizität,['소성']
beschäftigte,"['직원들', '직원', '고용']"
vertraulich,['기밀']
grausamer,"['잔인한', '잔혹한']"
symbolisch,"['상징', '심볼릭']"
laufender,['진행중']
scheidung,['이혼']
torf,['터프']
gesunden,"['건강', '건강한', '건강하게']"
erlass,"['칙령', '법령']"
sterblichkeit,['사망률']
tropischen,['열대']
fällen,"['인스턴스', '케이스', '사례']"
kommunizieren,['소통']
tschechoslowakischen,['체코슬로바키아']
widmet,['헌신']
sekretion,['분비']
abschlussfeier,"['졸업식', '졸업']"
internetseite,"['웹페이지', '웹사이트']"
dänischen,"['덴마크어', '덴마크']"
nationalität,"['국적', '국적은']"
verbannt,"['추방', '차단됨']"
beschädigt,"['부패', '손상된', '손상']"
kreuzfahrer,['크루세이더']
qualen,"['고문의', '고문', '고통']"
landwirtschaft,"['농장', '농사', '농업']"
hervorgehobene,"['대표', '추천', '하이라이트']"
geschlossene,"['닫힌', '비공개', '동봉']"
schaffung,"['창조', '생성', '만들기']"
enkelin,['손녀']
qualität,"['퀄리티', '화질이', '화질', '품질']"
umsicht,['신중']
vermischung,"['믹싱', '혼합']"
schießen,"['총격', '촬영', '사격']"
koreanischen,"['한국인', '한국어', '한국']"
guayana,['가이아나']
erwerber,['구매자']
synchronisieren,['동기화']
klaviere,['피아노']
sechzehn,['열여섯']
thailändische,"['타이', '스와힐리어', '태국어', '태국']"
falsches,"['가짜', '거짓']"
konvent,"['조약', '수녀원', '협약', '컨벤션']"
tipp,['힌트']
tumor,['종양']
überzeugt,"['자신감', '설득력', '설득', '확신']"
wrestler,['레슬링']
scham,"['부끄러운', '부끄러움', '수치']"
gewinnspiel,"['복권', '콘테스트', '대회']"
emissionen,"['배기가스', '배출량', '배출', '방출', '배출권']"
forderungen,"['발급', '주장', '노출']"
haftpflicht,['책임']
menschliche,"['인체', '인간인', '인간']"
löst,['트리거']
psychiater,"['정신의학', '축소']"
boote,['보트']
steroide,['스테로이드']
spule,['소식']
positiven,"['긍정적', '양수', '긍정', '긍정적인']"
auflisten,['품목']
vage,['애매하다']
erweiterter,"['확장', '연장']"
stückzahl,"['조각', '수량']"
filtern,"['필터', '필터링']"
nachrichten,"['소식', '메시징', '메시지', '뉴스', '메세지']"
geisel,['인질']
bildunterschriften,['자막']
unbequem,"['불편함', '불편한', '불편해', '불편하다', '불편']"
kommend,['출시']
romanisierung,['표기법']
katholischen,"['가톨릭주의', '가톨릭']"
furcht,"['두려움', '드레드', '공포', '염려', '공포증', '불안']"
sozialismus,['사회주의']
verbannung,['망명']
farbige,['채색']
ehrung,"['명예', '영광']"
wanderungen,"['하이킹', '걷는다', '걷고', '걷기', '워킹']"
hummer,['바닷가재']
fernseher,['텔레비전']
staatsangehörige,['내셔널스']
drachen,"['드래곤즈', '연이', '드래곤스', '드래곤볼', '드래곤']"
porto,['우표']
finale,"['기말고사', '결승', '결승전', '파이널']"
myokardinfarkt,['경색']
entwürfen,['임시']
susanne,['수잔']
monaten,['개월']
kabel,['케이블']
