Korean,English
양상추,['lettuce']
동봉,"['enclose', 'enclosed']"
대구,"['daegu', 'cod']"
컬렌,['cullen']
제공자,['provider']
표본,['sample']
감염,"['infections', 'infection']"
하이웨이,['highway']
화해,"['reconciliation', 'conciliation']"
과학자,"['scientist', 'scientists']"
인터뷰,"['interview', 'interviews', 'interviewing']"
인테리어,"['interior', 'interiors']"
펄스,['pulse']
취향,['tastes']
부산,"['pusan', 'busan']"
탐지기,['detector']
핸드볼,['handball']
마츠모토,['matsumoto']
파이프,"['pipe', 'pipes', 'piping']"
군함,['warship']
장수,"['longevity', 'oldest']"
긴장감,"['tension', 'nervous']"
천장,"['ceiling', 'ceilings']"
브랜디,"['brandies', 'brandy']"
에디스,['edith']
바퀴,"['wheel', 'wheels']"
원리,"['principle', 'principles']"
투명,"['translucency', 'translucent', 'transparent', 'transparency']"
서울,['seoul']
보모,"['nannies', 'nanny']"
조합,"['combinations', 'combination']"
사무원,['clerk']
스마일,"['smile', 'smiles']"
구성원,['members']
허용,"['allowed', 'allow', 'permit']"
그때,['then']
잉태,"['begotten', 'gestation']"
지도,"['map', 'maps']"
프레임,"['frames', 'frame', 'framing']"
봉기,['uprising']
마술사,"['juggler', 'magician', 'sorcerer']"
탐욕,"['greedy', 'greed']"
헤인스,"['haynes', 'haines']"
패널,"['panels', 'panel']"
캐러멜,['caramel']
아카이브,['archive']
회비,['dues']
마사미,['masami']
죄책감,['guilt']
세션,"['session', 'sessions']"
뮤직,['music']
젤라틴,"['gelatin', 'gelatine']"
처형,"['execute', 'execution']"
논증,['argument']
인사말,['greeting']
뿌리,"['root', 'roots']"
인문학,['humanities']
템포,['tempo']
스텝,"['step', 'steps', 'steppe']"
셔틀,"['shuttle', 'shuttles']"
중성,['neutral']
뺄셈,['subtraction']
법정,['court']
