German,English
drücken,"['press', 'push', 'squeeze', 'pressing']"
zivil,"['civil', 'civilian']"
schreiben,"['write', 'letter', 'writing']"
direkt,"['straight', 'direct', 'directly']"
strecken,"['routes', 'stretch']"
ein,"['a', 'an', 'one']"
fett,"['fats', 'grease', 'bold', 'fat']"
objektiv,"['lens', 'objective', 'lenses', 'objectively']"
unsichtbar,"['invisible', 'invisibility']"
nagen,['gnaw']
diagnostik,"['diagnostic', 'diagnosis', 'diagnostics']"
katholisch,"['catholic', 'catholics']"
gelb,"['amber', 'yellow']"
schwarzweiß,['monochrome']
hubschraubern,['helicopters']
bellen,"['bark', 'barking']"
theorie,"['theory', 'theories']"
ticken,['ticking']
schlecht,"['poor', 'badly', 'bad', 'poorly']"
salzen,"['salt', 'salts', 'salting']"
durchführung,"['implementation', 'realisation', 'execution', 'realization']"
erfolg,"['successes', 'success']"
struktur,"['texture', 'structure']"
geländer,"['handrails', 'railings', 'rails', 'railing']"
ständig,"['continuously', 'continuous', 'constantly', 'continually']"
jahr,['year']
unterseite,"['underside', 'bottom']"
aeroben,['aerobic']
steuern,"['control', 'taxation', 'tax', 'taxes']"
digital,['digitally']
journalismus,['journalism']
autonom,"['autonomously', 'autonomous', 'autonomic']"
tafel,['blackboard']
filmen,"['films', 'filming']"
dauerhaft,"['durable', 'permanent', 'permanently', 'lasting']"
quellen,"['sources', 'springs']"
innovativ,"['innovating', 'innovate', 'innovative']"
bestimmt,"['determined', 'destined']"
entfernt,"['removed', 'removes', 'remove']"
forschung,['research']
begleitung,"['monitoring', 'accompaniment', 'escort', 'accompanying']"
gründer,"['founders', 'founder']"
gleich,"['equal', 'same', 'equals']"
leeren,"['emptying', 'empty', 'blank']"
transparenz,"['transparent', 'transparency']"
pop,['pops']
not,['distress']
burgen,"['castles', 'fortresses']"
schwerwiegend,"['serious', 'severe']"
energie,"['energy', 'power']"
biegen,"['bending', 'bend']"
positiv,"['positive', 'positivity', 'positives', 'positively', 'affirmative']"
geheim,"['secret', 'classified']"
farbe,"['color', 'paint', 'colour', 'colours', 'colors']"
trainer,"['coaches', 'coach', 'trainers']"
industrie,"['industry', 'industrial']"
wir,"['we', 'us']"
ökonomisch,"['economically', 'economical']"
spielen,"['gambling', 'play', 'games', 'playing', 'gamble']"
orchester,"['orchestral', 'orchestra', 'orchestras']"
begehen,"['commit', 'committing']"
dort,['there']
jacken,['jackets']
konsuln,['consuls']
liga,['league']
privat,"['privately', 'private']"
pur,"['neat', 'pure']"
dreier,"['threesome', 'three', 'threes']"
unmittelbar,"['immediately', 'directly', 'immediate']"
evtl,['possibly']
kunst,"['arts', 'art']"
europäisch,['european']
zusammenfassung,"['recap', 'abstract', 'summaries', 'summary']"
praktisch,"['practically', 'convenient', 'practical', 'virtually', 'handy']"
nützlich,"['helpful', 'useful', 'handy', 'usefull']"
treppe,"['stairway', 'steps', 'stairs', 'stair', 'staircase']"
toll,['great']
zentral,"['centralised', 'central', 'centralized', 'centrally']"
katalanischen,"['catalan', 'catalonian']"
pflicht,"['duty', 'obligatory', 'obligation', 'mandatory', 'compulsory']"
redakteur,['editor']
nachhaltig,"['sustainable', 'sustainably', 'sustained']"
und,['and']
geeignet,"['suited', 'usable', 'suitable', 'appropriate']"
extrem,"['extremely', 'extreme']"
video,['videos']
pfanne,"['pan', 'ladle']"
reflexion,['reflection']
pisten,"['runways', 'slopes', 'pistes']"
innen,['inside']
bronzen,['bronzes']
verteilung,"['distribution', 'distributions', 'distributing']"
kommen,"['come', 'coming']"
mühlen,"['mill', 'windmills', 'mills', 'grinders', 'crushers']"
zweit,"['two', 'twos']"
südlich,['south']
pixeln,"['px', 'pixels', 'pixel']"
früh,['early']
messgerät,"['gauge', 'meter']"
senden,"['sending', 'submit', 'send']"
nigger,"['niggers', 'nigga', 'niggas']"
virtuose,['virtuoso']
fehlen,"['absent', 'absence', 'lack', 'missing']"
locken,"['lure', 'curls']"
gitarrist,"['guitar', 'guitarist']"
schrauben,"['screws', 'fasteners', 'bolts', 'screw']"
gruppe,['group']
organe,"['organs', 'institutions']"
lecker,"['tasty', 'yummy', 'yum', 'delicious']"
laufen,"['running', 'run']"
regisseurin,['director']
produktion,"['output', 'production', 'productions', 'manufacturing']"
falsch,"['incorrect', 'wrong', 'false']"
spanisch,['spanish']
weiter,"['further', 'continuing', 'continue', 'continued', 'continues']"
per,['via']
regeln,"['rules', 'regulations']"
beständig,"['constant', 'resistant', 'steady', 'consistently', 'stable']"
wort,['word']
dorf,"['villages', 'village']"
implementierung,"['implementation', 'implementing', 'implement']"
prismen,['prisms']
scheinbar,"['ostensibly', 'apparently', 'seeming', 'seemingly']"
anleitung,"['guidance', 'instruction', 'manual', 'tutorial', 'instructions']"
bart,['beard']
kompatibel,['compatible']
reichen,"['rich', 'wealthy']"
fortschrittlich,['progressive']
pfade,"['paths', 'pathways', 'trails']"
genannt,"['named', 'called']"
nachfolgend,['hereinafter']
archive,['archives']
liebhaber,"['lovers', 'lover']"
bücher,['books']
nackt,"['naked', 'nude']"
gift,"['venom', 'toxin', 'poison']"
singen,"['sing', 'chanting', 'singing', 'chant']"
prozessen,['processes']
original,['originals']
lernen,"['learning', 'learn']"
verbinden,"['merge', 'connecting', 'connect', 'combine']"
pathologie,['pathology']
natürlich,"['course', 'naturally']"
agr,['egr']
umsetzung,"['implementation', 'realisation', 'transposition', 'transpose', 'realization']"
bruch,"['scrap', 'break', 'fracture', 'breach', 'rupture']"
arbeiten,"['work', 'working', 'works']"
weich,['soft']
genauigkeit,"['precision', 'accuracy']"
ursachen,['causes']
gleichen,"['equal', 'same']"
radar,['radars']
spiel,"['gameplay', 'game', 'games', 'play', 'match']"
einfach,"['simple', 'simply', 'just', 'easy']"
italienisch,['italian']
literatur,"['literary', 'literature', 'bibliography']"
braten,"['frying', 'roasting', 'roast']"
risiken,"['hazards', 'risks', 'risk']"
archiv,"['archive', 'repository', 'archives']"
rechnung,"['account', 'billing', 'invoices', 'bill', 'invoice']"
ausgang,"['output', 'outgoing', 'exit', 'exits']"
rechteckig,"['rectangle', 'rectangular']"
kloster,"['monastery', 'abbey', 'convent', 'cloister']"
recht,"['right', 'law']"
lang,['long']
ton,"['sound', 'audio', 'tone', 'clay']"
beiträge,"['contributions', 'submissions', 'posts', 'articles']"
höhen,"['treble', 'highs', 'altitude', 'heights']"
hebräisch,['hebrew']
post,"['mail', 'postal']"
karten,"['tickets', 'maps', 'cards', 'charts']"
autoren,"['writers', 'author', 'authors']"
bezug,['reference']
ehren,"['honour', 'honorary', 'honor', 'honours', 'honors']"
gewonnen,"['gained', 'won']"
auswärts,['abroad']
kind,"['infant', 'kid', 'child']"
eingeschränkt,"['restricted', 'constrained', 'limited']"
standard,['default']
göttinnen,['goddesses']
naturschutzgebiet,['reserve']
angleichung,"['approximation', 'align', 'alignment']"
ten,['tens']
warm,['hot']
sozio,"['socio', 'sociocultural', 'socioeconomic']"
geschäft,"['shop', 'shops', 'transaction', 'store', 'business']"
aktivität,['activity']
fahren,"['drive', 'driving']"
slowakisch,"['slovakian', 'slovak']"
niederländisch,['dutch']
vorgänger,"['predecessor', 'predecessors']"
mengen,"['quantities', 'volumes', 'quantity']"
musen,['muses']
erkenntnis,"['realisation', 'perception', 'cognition', 'insight']"
intensität,['intensity']
persisch,['persian']
albern,"['foolish', 'ridiculous', 'goofy', 'silly']"
dynamisch,"['dynamically', 'dynamic']"
allein,"['alone', 'solo']"
betrachtung,['contemplation']
markante,['distinctive']
flugzeug,"['airplane', 'plane', 'airplanes', 'aircraft', 'aeroplane']"
träumen,"['daydreaming', 'dream', 'dreams', 'dreaming']"
gen,['gene']
gattung,"['genus', 'species']"
begraben,"['burial', 'bury', 'buried', 'burying']"
