word,selected_sentence,sentence_length,original_frequency,tokens,token_num
hitting,Assistant hitting coach Dave Hansen was promoted to interim hitting coach for the rest of the season.,17,24,['▁hitting'],1
emancipation,The American Baptist Antislavery Convention held in New York City in 1840 called for the immediate emancipation of slaves.,19,24,"['▁em', 'an', 'cip', 'ation']",4
goodbye,Participants were invited to use any song from So This Is Goodbye as the soundtrack for their original video creations.,20,24,"['▁good', 'bye']",2
azimuth,There are two approaches to the azimuth that orients the guns of a battery for indirect fire.,17,24,"['▁az', 'im', 'uth']",3
stern,"The vessel had a beam of , a draft forward of and at the stern at full load.",18,24,['▁stern'],1
tech,"During an online interview, Kelly denied the oft claimed rumor he had previously been the band's drum tech.",18,24,"['▁te', 'ch']",2
dramatist,"Sophia, Lady Burrell (1753–1802) was an English poet and dramatist.",10,24,"['▁dram', 'at', 'ist']",3
stature,An album to be heralded by a paper of a Herald-like stature.,12,24,"['▁stat', 'ure']",2
temperance,"Members of the Church of Ireland are required by the Catechism to keep their bodies in ‘temperance, soberness and chastity’.",20,24,"['▁temper', 'ance']",2
accomplishment,The Russians considered the capture of Radzymin a crucial accomplishment.,10,24,"['▁accomplish', 'ment']",2
bungalow,The inner ceiling of the bungalow would have teak wood.,10,24,"['▁b', 'ung', 'al', 'ow']",4
skirt,"Sharp edges on the skirt degrade performance, as it generates ions of opposite polarity to those within the thrust mechanism.",20,24,"['▁sk', 'irt']",2
marching,See also Rucksack palsy References Physical exercise Military education and training Military marching da:Yomp,14,24,"['▁march', 'ing']",2
wrist,"Vice-captain Brian Booth took command as Bobby Simpson had broken his wrist, and elected to bat after winning the toss.",20,24,"['▁w', 'rist']",2
spent,"Malay also suggests that ""in all likelihood, he spent only a few years in rural retreat"" in Cumberland.",18,24,['▁spent'],1
bundle,"Newsen spoke of the album as ""a bundle of more sincere stories from the human Lee Ji-eun.""",17,24,['▁bundle'],1
orphan,"At this time, Gobinda, an orphan of the distant relative, became their mental hope.",14,24,"['▁or', 'phan']",2
helm,"Simmons was at the helm with Ireland for over 224 matches, making him the longest serving coach in international matches.",20,24,"['▁hel', 'm']",2
oxford,"“Constructions are catenae: Construction Grammar meets Dependency Grammar”, Cognitive Linguistics 23, 1: 163–214.Oxford phrasal verbs dictionary.",16,24,"['▁ox', 'ford']",2
batrachiensis,Thick-shelled eggs are the transmission and dispersal stage of G. batrachiensis.,11,24,"['▁b', 'atra', 'chi', 'ensis']",4
permanent,The government lifted restrictions on Telegram on 13 January 2018. but again applied permanent restrictions after late April 2018.,19,24,['▁permanent'],1
construct,Inaccuracy when placing a pedicle screw can result in neurovascular injury or construct failure.,14,24,['▁construct'],1
phonology,Phonology Rigwe phonology: References External links Roger Blench: Rigwe page Central Plateau languages Languages of Nigeria,16,24,"['▁ph', 'on', 'ology']",3
asphalt,"IntegraBase alters the chemical structure of asphalt, improving strength, temperature performance and longevity of roads.",15,24,"['▁as', 'ph', 'alt']",3
implant,"In 1999, the FDA approved Integra LifeSciences’ DuraGen, an absorbable implant used in neurosurgical and spinal procedures.",17,24,"['▁impl', 'ant']",2
fencing,"The setting of the house was important to the National Register nomination, which specifically highlighted its shaded garden and fencing.",20,24,"['▁f', 'encing']",2
recruiting,Kouandjio ended the 2012 season ranked as the top offensive tackle from the 2011 recruiting class.,16,24,"['▁rec', 'ruit', 'ing']",3
cactus,"Opuntia tehuacana, commonly known as the Tehuacán prickly pear, is a species of prickly pear cactus in the family Cactaceae.",20,24,"['▁c', 'act', 'us']",3
paludis,"Description The skeleton of Limnoscelis was relatively large, with Limnoscelis paludis measuring 7 feet (around 2 meters) long.",18,24,"['▁pal', 'ud', 'is']",3
fog,"Days into the voyage, a heavy fog envelops the boat.",10,24,['▁fog'],1
leukemia,"He died of leukemia in February, 2006, at his home in Cupertino.",12,24,"['▁le', 'uk', 'emia']",3
gill,"The cap is gray or brownish, in diameter, and has furrows around the edge that duplicate the gill pattern underneath.",20,24,"['▁g', 'ill']",2
musicologist,"Charles Louis Seeger Jr. (December 14, 1886 – February 7, 1979) was an American musicologist, composer, teacher, and folklorist.",19,24,"['▁music', 'ologist']",2
shah,"His father was the firstborn son of Tahmasp I, the second Shah of Safavid Iran.",15,24,"['▁sh', 'ah']",2
sultan,These regiments were disbanded around 1325 under Sultan Abu Sa'id.,10,24,"['▁s', 'ultan']",2
oscillator,"The balance spring made the balance wheel a harmonic oscillator, with a natural 'beat' resistant to disturbances.",17,24,"['▁oscill', 'ator']",2
transmembrane,"There are 2 transmembrane domains, which have been determined and reaffirmed by multiple methods.",14,24,"['▁transm', 'emb', 'rane']",3
moisture,"Good seals should be tight enough to retain moisture while, at the same time, loose enough to accommodate plant growth.",20,24,"['▁mo', 'ist', 'ure']",3
testament,"New Testament texts The occurrence of the phrase ""new covenant"" varies in English translations of the Greek New Testament.",19,24,"['▁test', 'ament']",2
independent,Triton Central left the Rangeland Conference to play as an independent.,11,24,['▁independent'],1
iteratee,"_.iteratee defaults to the iteratee function that ships with Underscore, which, depending on the value, returns a function as follows.",20,24,"['▁iterate', 'e']",2
dysfunction,"Furthermore, it's dysfunction is involved in autoimmunity or other diseases, such as allergic airway inflammation or psoriatic arthritis.",18,24,"['▁d', 'ys', 'function']",3
orator,"His son, Sahabzada Syed Murtaza Amin, is also an orator of Islam lecturing in different parts of world.",18,24,"['▁or', 'ator']",2
ode,"Ode to Elizabeth Park, Glastonbury, CT: Blue Moon Press, Letterpress Limited Edition, 2011.",13,24,"['▁o', 'de']",2
halftime,"Saunders opted not to risk another play, settling for an Abbott field goal and a 20–5 halftime scoreline.",18,24,"['▁hal', 'ft', 'ime']",3
laccolith,"When the host rock is volcanic, the laccolith is referred to as a cryptodome.",14,24,"['▁la', 'cc', 'ol', 'ith']",4
dub,An English dub was not available until May 3 due to the COVID-19 pandemic causing production delays for its recording.,20,24,['▁dub'],1
believer,Pentecostal churches do not usually accept members who have not undergone believer's baptism.,13,24,"['▁bel', 'ie', 'ver']",3
chronology,"Jain chronology places Rishabhanatha in historical terms, as someone who lived millions of years ago.",15,24,"['▁chron', 'ology']",2
reunification,She lost her job after the reunification of Germany and worked as a bank clerk.,15,24,"['▁reun', 'ification']",2
dove,Upon his death a dove appears to symbolise Roy's soul ascending into the heavens.,14,24,['▁dove'],1
infringement,"Copyright holders frequently refer to copyright infringement as theft, and such use has been accepted by legislatures and courts.",19,24,"['▁in', 'fr', 'ing', 'ement']",4
firewood,They needed huge amounts of firewood and wood for potash.,10,24,"['▁fire', 'wood']",2
retrospective,It was the museum's first retrospective exhibition of work by a woman artist.,13,24,"['▁ret', 'ros', 'pective']",3
wax,"In explosives, wax or polymers like polyisobutylene or styrene-butadiene rubber are often used as binders for plastic explosives.",18,24,"['▁w', 'ax']",2
offseason,"Watt has joked that he ""may or may not"" use skating as part of his offseason training.",17,24,"['▁off', 'season']",2
artifact,He was with Rhan and Nopht on the surface on an artifact recovery mission.,14,24,['▁artifact'],1
jurisprudence,He started learning Hadith and jurisprudence at the age of seven from other scholars.,14,24,"['▁juris', 'pr', 'ud', 'ence']",4
quartz,"Quartz dolerite contains many cooling fractures and weathers readily, becoming unstable.",11,24,"['▁quart', 'z']",2
outflow,"An eyewall replacement cycle, along with dry air and restricted outflow, contributed to the weakening.",15,24,"['▁out', 'flow']",2
outcry,The video eventually went viral and sparked widespread outcry among critics of United States immigration policy.,16,24,"['▁out', 'c', 'ry']",3
raise,"For example, it is quid pro quo sexual harassment for a boss to offer a raise in exchange for sex.""",20,24,['▁raise'],1
vertebra,"(only known by a vertebra first attributed to a Varanoidea, would actually be a freshwater mosasaur) ?",17,24,"['▁verte', 'bra']",2
chairmanship,"Currently, there are five women and four men under the chairmanship of Dominique Meyer.",14,24,"['▁chair', 'mans', 'hip']",3
thalassemia,"As a lifelong disorder, individuals born with thalassemia face a wide range of challenges from infancy onward.",17,24,"['▁th', 'al', 'ass', 'emia']",4
trench,Geography The Swatch of No Ground (SoNG) is a 14 km wide trench in the Bay of Bengal.,18,24,"['▁tren', 'ch']",2
envoy,The chief envoy of this Joseon delegation was Hong Gye-hui.,10,24,"['▁en', 'voy']",2
over,"Simmons was at the helm with Ireland for over 224 matches, making him the longest serving coach in international matches.",20,24,['▁over'],1
cessation,"Airport With the cessation of amphibious airplane service to Akutan on Akutan Island, the Akutan Seaplane Base closed in 2012.",20,24,"['▁c', 'ess', 'ation']",3
chargemaster,Existing legislation and regulations Federally all hospitals are now required to post their chargemaster on the hospital website.,18,24,"['▁charg', 'em', 'aster']",3
directing,Johnson and her son became famous as Hollywood's only mother-son directing/writing team.,12,24,"['▁direct', 'ing']",2
lithograph,"In 1835, he created a lithograph that illustrated a fire sweeping through New York City's business district.",17,24,"['▁l', 'ith', 'ograph']",3
therapist,"The centre has a speech therapist, physiotherapist, special educators and doctors.",11,24,"['▁ther', 'ap', 'ist']",3
centenary,This was a set of 10 values up to 10s commemorating the centenary of British colonisation (1834-1934).,17,24,"['▁cent', 'en', 'ary']",3
revitalization,"Yonge opened a state-of-the-art elementary school building, and continues to work towards total campus revitalization.",15,24,"['▁rev', 'ital', 'ization']",3
christ,"(assuming that members of the Church of Jesus Christ of Latter-Day Saints don't already have a relationship with Jesus).""",19,24,['▁christ'],1
exemption,LPGA rules specify that earnings by players who gain entrance to an international tournament using a sponsor's exemption are unofficial.,20,24,"['▁exem', 'ption']",2
pedestal,The statue was pulled down from its pedestal during the night of 19–20 June 2020.,15,24,"['▁ped', 'est', 'al']",3
disrepair,"The castle is now in a state of ruinous disrepair, although it is protected as a category B listed building.",20,24,"['▁dis', 'rep', 'air']",3
se,"His defence team withdrew, and he informed the judge that he would conduct his defence pro se.",17,24,['▁se'],1
put,"When put to a vote ""On Motion to Recommit with Instructions: H.R.",12,24,['▁put'],1
dorsum,There is sometimes a faint spot of fuscous suffusion towards the dorsum before the tornus.,15,24,"['▁d', 'ors', 'um']",3
condominium,A 16-storey condominium is proposed for the corner of Wellington Street West and Draper.,14,24,"['▁cond', 'omin', 'ium']",3
intermediate,2-Aminothiazoline-4-carboxylic acid is an intermediate in one industrial synthesis of L-cysteine for example.,13,24,['▁intermediate'],1
airway,Stridor is a physical sign which is caused by a narrowed or obstructed airway.,14,24,"['▁air', 'way']",2
baronetcy,Borrowes was buried at Gilltown and was succeeded in the baronetcy by his oldest son Erasmus.,16,24,"['▁baron', 'et', 'cy']",3
juice,The health club also contained a running track and juice bar.,11,24,"['▁ju', 'ice']",2
proud,Stevens also said he was proud of having attended Ruskin College.,11,24,['▁proud'],1
hopper,Any hopper-based loading system still relies on gravity to get paint into the drive portion of the loader itself.,19,24,"['▁ho', 'pper']",2
haul,Vietnam was the runner-up with eleven gold medals among its haul of 34 medals.,14,24,"['▁ha', 'ul']",2
snowfall,"This desert climate receives less than of annual rainfall, and snowfall is generally light during the winter.",17,24,"['▁snow', 'fall']",2
fruition,"God's remaining promises to Israel will come to fruition in the Millennium, the 1,000 year reign of Christ on Earth.",20,24,"['▁f', 'ru', 'ition']",3
tactic,"Therefore, the Israeli government is reluctant to abandon the blockade tactic ... from its perspective.'",15,24,"['▁t', 'actic']",2
fielder,"He occasionally played as a substitute fielder for the England Cricket Team, during Test matches at Trent Bridge, Nottingham.",19,24,"['▁fiel', 'der']",2
globalization,"He has written extensively on foreign affairs, global trade, the Middle East, globalization, and environmental issues.",16,24,"['▁global', 'ization']",2
alkaloid,The alkaloid rudrakine was discovered in the E. angustifolius fruit in 1979.,12,24,"['▁al', 'kal', 'oid']",3
strait,The Hudson Strait () links the Atlantic Ocean and the Labrador Sea to Hudson Bay in Canada.,17,24,"['▁stra', 'it']",2
think,"The safety commercial ran several months each year as part of the ""THINK!""",13,24,['▁think'],1
landlord,"Early unrecorded antiquarian digs disturbed the Carrowmore tombs, such as conducted by local landlord Rodger Walker in the 19th century.",20,24,"['▁land', 'l', 'ord']",3
neglect,Wyatt accused the council of neglect and questioned why the termite activity hadn't been noticed earlier.,16,24,['▁neglect'],1
il,"Kaufman, Tom, ""Donizetti: Pietro il Grande, on operatoday.com, 13 Sep 2005.",11,24,['▁il'],1
twelfth,The twelfth and last king of the Western Zhou period was King You of Zhou (781–771 BC).,17,24,"['▁tw', 'elf', 'th']",3
oratorio,"The group performed the complete oratorio there on 8 December 2019, with Jan Kobow as the Evangelist.",17,24,"['▁or', 'atorio']",2
mitigation,$2b$ Used by recent OpenBSD implementations to include a mitigation to a wraparound problem.,14,24,"['▁mit', 'ig', 'ation']",3
roommate,Ray hides Fahmarr in his dorm with his roommate Daniel Morelli discovering him.,13,24,"['▁ro', 'omm', 'ate']",3
rib,"Galton found that Kentrosaurus came in two varieties, one with an extra sacral rib.",14,24,['▁rib'],1
avionics,"An apprentice training program was started in 1990 to train Chinese aircraft, engine, and avionics technicians.",16,24,"['▁av', 'ion', 'ics']",3
arnensis,Range The first identification of C. arnensis followed the discovery of a fossil in the Upper Valdarno.,17,23,"['▁ar', 'n', 'ensis']",3
fill,"Nitrogen tanks typically cost slightly less to fill than CO2 tanks, at approximately three to five US dollars.",18,23,['▁fill'],1
visa,31 December – American visa applications at the United States Embassy in Dublin rose by 25%.,16,23,"['▁vis', 'a']",2
socket,"Together the tibia and fibula form a bracket-shaped socket known as the mortise, into which the dome-shaped talus fits.",19,23,['▁socket'],1
jati,His title of jati thalavan (head of the caste) was passed down through 21 other members of his family.,19,23,"['▁j', 'ati']",2
scribe,Thay was the son of the scribe of soldiers Khaemteri and Tamy.,12,23,"['▁scri', 'be']",2
solid,The strain pulse forms a pancake-like region of longitudinal strain that propagates directly into the solid away from the surface.,20,23,['▁solid'],1
faulty,This faulty electrolyte allowed the unimpeded formation of hydroxide and produced hydrogen gas.,13,23,"['▁fault', 'y']",2
sailboat,"T-81 Ciudad Bolívar, in service since 09-23-2001 One Bricbarc type/Simón Bolívar training sailboat.",13,23,"['▁sail', 'bo', 'at']",3
maternity,"These included a maternity and child welfare clinic, clinics for the sick and poor and an unofficial employment centre.",19,23,"['▁mat', 'ern', 'ity']",3
mindset,This education instills in them a mindset and identity distinct from Koreans.,12,23,"['▁mind', 'set']",2
devastation,"Sue dwells on Maud's betrayal, the devastation of which quickly turns to anger.",13,23,"['▁dev', 'ast', 'ation']",3
gable,"On the third story, a triangular gable and various dormers interrupt the roofline.",13,23,"['▁g', 'able']",2
secretion,"The secretion weakens the tree and temporarily diminishes its immune system, whereby the fungus can spread along the xylem.",19,23,"['▁secret', 'ion']",2
aboard,"Kirk and the Enterprise find the hijacked passenger ship that has Cochrane aboard, and cleverly rescue all aboard.",18,23,"['▁ab', 'o', 'ard']",3
dissatisfaction,Down-shifting is fundamentally based on dissatisfaction with the conditions and consequences of the workplace environment.,15,23,"['▁diss', 'atisf', 'action']",3
plural,When the word enemy is used in the sense of armed forces another nation a plural verb is used.,19,23,"['▁pl', 'ural']",2
heterogeneity,"In particular, wood from tropical rainforests is rarely harvested for paper because of their heterogeneity.",15,23,"['▁heter', 'ogene', 'ity']",3
dash,"Other changes include a re-designed dash with gear position indicator, changeable rev limiter and ambient temperature sensors.",17,23,['▁dash'],1
utilization,Both minimum recycled content mandates and utilization rates increase demand by forcing manufacturers to include recycling in their operations.,19,23,"['▁util', 'ization']",2
dilemma,"For Koreans, there's typically no dilemma about their national and ethnic identity aligning.",13,23,"['▁d', 'ile', 'm', 'ma']",4
censor,"On the way to his mission, he visited Wang Shao, now an official censor, who rejected further advances.",18,23,"['▁c', 'ensor']",2
correspond,"The following is a list of the subdistrict's mubans, which roughly correspond to the villages.",15,23,['▁correspond'],1
neuroscience,"Early life and education Molofsky completed her undergraduate education at Amherst College, majoring in neuroscience and chemistry.",17,23,"['▁neu', 'ros', 'cience']",3
truce,The campaign was a great success and ended with the signing of a truce on 2 September 1431.,18,23,"['▁tr', 'uce']",2
amor,"El amor de los cuatro coroneles, (Spanish translation of The Love of Four Colonels) by Peter Ustinov.",17,23,['▁amor'],1
holding,"After the initial yards any contact will be considered holding, which is a five-yard penalty and an automatic first down.",20,23,['▁holding'],1
battlecruiser,"As was the usual pattern of the time, only one battlecruiser was ordered per naval programme.",16,23,"['▁battle', 'c', 'ru', 'iser']",4
darter,"The average lifespan of the saddleback darter is two years, with few specimens making it through their third winter.",19,23,"['▁d', 'arter']",2
savage,"Confirming the bag was his property, Mahon was escorted to Kennington police station to await the arrival of Inspector Savage.",20,23,"['▁sav', 'age']",2
rangefinder,A single rangefinder was used by the commander of the artillery in a central fire control station at Kuivasaari.,19,23,"['▁range', 'find', 'er']",3
cyclobuxine,Structure and reactivity Cyclobuxine is a steroidal alkaloid and thus an organic polycyclic compound.,14,23,"['▁cy', 'c', 'lob', 'ux', 'ine']",5
mock,In late August seven Chariots made a mock attack against the British battleship .,14,23,['▁mock'],1
tracking,Manual command to line-of-sight Both target tracking and missile tracking and control are performed manually.,15,23,['▁tracking'],1
folio,The 15-folio long letter is certainly of a historical and literary value.,12,23,"['▁fol', 'io']",2
westbound,"The southern tube normally carries eastbound traffic to Queens, and the northern tube normally carries westbound traffic to Manhattan.",19,23,"['▁west', 'bound']",2
taking,"Piracy in the Gulf of Guinea then became a well-organised business, taking advantage of the oil-industry in the region.",19,23,['▁taking'],1
technician,"In 2001, she trained as a technician in computer graphics and photography.",12,23,"['▁techn', 'ician']",2
underwater,Gallery of types See also References Diving support equipment Marine architecture Oil platforms Shipbuilding Underwater habitats,16,23,"['▁under', 'water']",2
spa,"The spa contains 12 treatment rooms, a steam room, and an Asian lounge among other features.",16,23,"['▁sp', 'a']",2
sloop,"It has a masthead sloop rig, with aluminium spars with stainless steel wire standing rigging.",15,23,"['▁s', 'loop']",2
devotee,References How one Rama devotee changed Bangalores cultural life 1924 births 2000 deaths Kannada people,15,23,"['▁dev', 'ote', 'e']",3
wizard,Their quest was joined by Bilbo Baggins (the titular hobbit) and occasionally by the wizard Gandalf.,16,23,"['▁w', 'izard']",2
cookery,"Her “interest in the historic side of cookery dates” from the “result of reading” the two volumes together, White wrote.",20,23,"['▁cook', 'ery']",2
cosmology,The speculative cosmology of Blaga also includes an entelechial interpretation of evolutionist biology.,13,23,"['▁cosm', 'ology']",2
prior,Falcons Ngcobo joined Kempton Park-based side the prior to the 2012 Currie Cup First Division.,15,23,['▁prior'],1
inductivism,"Philosophers' debates Inductivist endorsement Francis Bacon, articulating inductivism in England, is often falsely stereotyped as a naive inductivist.",18,23,"['▁induct', 'iv', 'ism']",3
lore,"As the Gaelic language and culture waned, the traditional lore and rituals faded as well.",15,23,"['▁l', 'ore']",2
telegram,The government lifted restrictions on Telegram on 13 January 2018. but again applied permanent restrictions after late April 2018.,19,23,"['▁tele', 'gram']",2
trump,"If players are unable to follow, they must trump or overtrump if able.",13,23,"['▁tr', 'ump']",2
dressage,He was the only officer to focus strictly on dressage.,10,23,"['▁dress', 'age']",2
posting,Other adjustments such as posting depreciation and prepayments are also done at this time.,14,23,['▁posting'],1
conformation,A dog can only become a champion by gaining championship points at other conformation shows.,15,23,"['▁con', 'formation']",2
beech,"Phyllaphis fagi, the woolly beech aphid, is a species of aphid in the family Aphididae.",15,23,"['▁be', 'ech']",2
telecommunication,Description Underground cables are one of the things that enable telecommunication and power transmission.,14,23,"['▁tele', 'communic', 'ation']",3
ist,"Idioticon Austriacum, das ist: Mundart der Oesterreicher, oder Kern ächt österreichischer Phrasen und Redensarten.",14,23,['▁ist'],1
descriptor,"In the above example, the key material has been omitted from the key descriptor for brevity.",16,23,"['▁des', 'criptor']",2
deeply,Design The Hanriot 1909 monoplane had an uncovered rectangular-section wire-braced wooden fuselage with deeply cambered parallel-chord wings.,17,23,['▁deeply'],1
cloister,"Shortly after, the Chapel des Fonts, cloister, and chapter house were built onto the south side of the nave.",19,23,"['▁clo', 'ister']",2
excuse,"""After every major terrorist incident, the excuse makers come out to tell us ... why the terrorists acted.",18,23,"['▁exc', 'use']",2
virgin,Recycling aluminium uses only 5% of the energy of virgin production.,11,23,"['▁vir', 'gin']",2
pale,"This rerelease is an American Pale Lager-style beer available only in Shiner Family Packs, one bottle per six-pack.",18,23,['▁pale'],1
enactment,These discoveries led to the swift enactment of Basic Law: The Army (1975).,13,23,"['▁en', 'act', 'ment']",3
interceptor,As an interceptor fighter it would achieve supersonic speeds but would carry no armament.,14,23,"['▁inter', 'ceptor']",2
treat,Complete abstinence from mobile phone use or abstinence from certain apps can also help treat mobile phone overuse.,18,23,['▁treat'],1
carry,"Previously, only police in rural districts had been permitted to carry firearms.",12,23,['▁carry'],1
paragraph,The World Heritage Committee following the table set in paragraph 203 C will examine the reports.,16,23,['▁paragraph'],1
dagger,A horizontal form of the dagger mark was used an obelus.,11,23,"['▁d', 'agger']",2
gown,Black gown with long sleeves with 3-inch red facings down the front.,12,23,"['▁g', 'own']",2
frontage,The frontage is symmetrical; the small wing at the left originally contained the caretaker's flat and a slipper bath.,19,23,"['▁front', 'age']",2
adherence,Poor's adherence to Porter's guidelines in creating murals means that attribution of work to him specifically is difficult.,18,23,"['▁ad', 'her', 'ence']",3
hobby,They bought a hobby stock car and competed at Thunder Valley Speedway during 1997.,14,23,"['▁h', 'ob', 'by']",3
bandmate,Marisol also discusses the challenges her bandmate Pepe Carlos has endured for being undocumented.,14,23,"['▁band', 'mate']",2
sanction,"An exhibition match was played without the association's sanction, while an association ""Ireland"" team played in London.",17,23,"['▁san', 'ction']",2
barony,"Cloghans () is a townland in the parish of Kilbelfad and historical barony of Tirawley, County Mayo in Ireland.",19,23,"['▁bar', 'ony']",2
fr,Engineering mechanics Materials science Geometric measurement Surfaces de:Welligkeit fr:Cambrure,9,23,['▁fr'],1
encoding,MFM is a modification to the original frequency modulation encoding (FM) code specifically for use with magnetic storage.,18,23,['▁encoding'],1
entrepreneurship,"The fund aims to facilitate women's financial empowerment, encourage entrepreneurship and address unemployment.",13,23,"['▁entrepr', 'ene', 'ur', 'ship']",4
melodrama,Release and reception Melodrama films have plots appealing to the raised passions of the audience.,15,23,"['▁mel', 'od', 'rama']",3
paste,Eleko: Resist dyeing with cassava paste painted onto the fabric.,10,23,['▁paste'],1
ritornello,"The suite consists of three dances (march, waltz, can-can) and an instrumental ritornello.",13,23,"['▁rit', 'orn', 'ello']",3
wreath,"Crest, on a wreath a globe in a frame all or.",11,23,"['▁w', 're', 'ath']",3
mobile,"Problematic mobile phone using among the Polish and Belarusian University students, a comparative study.",14,23,['▁mobile'],1
attribution,"Attribution: Endnotes: Memoirs by his son-in-law, W. Hanna, LL.D., 4 vols.",11,23,"['▁att', 'ribution']",2
filing,The survey responses were published in the 2009 NCSC Court E-filing Survey.,12,23,"['▁fil', 'ing']",2
differ,Sometimes two tenses have the same tense-marker and differ in their tonal pattern alone.,14,23,['▁differ'],1
provost,"It was built by Robert Farquhar, lord provost of Aberdeen, between 1641 and 1644.",14,23,"['▁prov', 'ost']",2
javelin,Final References Results Final results Javelin 2007 in women's athletics 2007,11,23,"['▁j', 'avel', 'in']",3
conducting,He returned to Europe in 1955 to study conducting in Vienna.,11,23,"['▁conduct', 'ing']",2
overdose,"In April 2011, an Alton, Illinois, woman apparently died from an MDPV overdose.",13,23,"['▁over', 'd', 'ose']",3
xi,"In the semi-final against Sweden, she was in the starting XI, but lost to the eventual European Champions on penalties.",20,23,"['▁x', 'i']",2
cooler,An insulated cooler works well for this on the field.,10,23,"['▁cool', 'er']",2
compassion,"The 103rd step is inscribed with “Ave Maria”, referencing the 103rd Psalm and its themes of benediction, forgiveness, and compassion.",20,23,"['▁comp', 'ass', 'ion']",3
overuse,Prevalence of mobile phone overuse depends largely on definition and thus the scales used to quantify a subject's behaviors.,19,23,"['▁over', 'use']",2
rash,Signs and symptoms PUPPP most commonly presents as a rash that starts within the stretch marks.,16,23,"['▁r', 'ash']",2
outlaw,"In 1997, the government of Denmark contemplated banning all outlaw biker clubs in response to the Great Nordic Biker War.",20,23,"['▁out', 'law']",2
torch,Checkpoints This is Torch'er: Each player will start with their own basket of torches.,14,23,"['▁tor', 'ch']",2
captaincy,In 1985 the school Second Eleven became champions in JSSA tournament under the captaincy of Mohamed Sharief Mohamed Jansin.,19,23,"['▁captain', 'cy']",2
buddhist,"There are small numbers of Buddhists: one congregation uses the former Primitive Methodist Chapel and another, the Vairochana Buddhist Centre.",20,23,"['▁bud', 'dh', 'ist']",3
heavyweight,"On February 3, Muto lost to Scott Norton in a #1 contender's match for the IWGP Heavyweight Championship.",18,23,"['▁heavy', 'weight']",2
newcomer,The following year he was nominated for the Fosters Comedy Award newcomer.,12,23,"['▁new', 'com', 'er']",3
backyard,"Billie runs and eventually kills her in fear, burying the body in the backyard.",14,23,"['▁back', 'yard']",2
hidden,Radio frequency irradiation is a possible way of killing larvae hidden in the fruit.,14,23,['▁hidden'],1
fix,Effectively changing norms would be an example of a structural fix.,11,23,['▁fix'],1
rebirth,"Jade cicadas and silkworms construed rebirth, symbolizing the rebirth of the dead when placed in tombs.",16,23,"['▁reb', 'irth']",2
styling,Styling was similar to the Deluxe and Streamliner Torpedoes as were the variations between the sixes and the eights.,19,23,"['▁sty', 'ling']",2
novella,"The premise has similarities with Tagore's novella Nastanirh, which was adapted by Satyajit Ray as the 1964 film Charulata.",19,23,"['▁nov', 'ella']",2
smell,"The many names that include the word ""stinking"" (and Mare's Fart) arise because of the unpleasant smell of the leaves.",20,23,"['▁sm', 'ell']",2
lottery,"Today, the horse market is only held on the second Wednesday in November, once again tied to a lottery.",19,23,"['▁lot', 'tery']",2
liga,"On 28 June 2023, Błyszko joined newly promoted I liga side Znicz Pruszków.",13,23,['▁liga'],1
evaporation,"Over a 28-day period, no leaks were found, and the reservoir only lost of water due to evaporation.",18,23,"['▁ev', 'ap', 'oration']",3
renaissance,"Renaissance art recovered the classical nude as an exemplification of ideal beauty, both physical and moral.",16,23,"['▁r', 'ena', 'issance']",3
devolution,"At present under devolution, Scotland controls only 7% of our revenues.""",11,23,"['▁de', 'volution']",2
kinematics,Stellar kinematic types Stars within galaxies may be classified based on their kinematics.,13,23,"['▁kin', 'emat', 'ics']",3
discomfort,"If an inflamed pinguecula is causing discomfort or cosmetic concerns, it may be treated with short course of topical steroid.",20,23,"['▁dis', 'com', 'fort']",3
liturgy,"When significant components of the liturgy are sung, the service is referred to as ""Evensong"".",15,23,"['▁lit', 'ur', 'gy']",3
hiring,"The DIL hiring teams called prospective women workers by telephone, and also visited places across Canada to hire women workers.",20,23,"['▁h', 'iring']",2
lifespan,"The average lifespan of the saddleback darter is two years, with few specimens making it through their third winter.",19,23,"['▁lif', 'es', 'pan']",3
grassroots,"The Student Movement is a grassroots, independent, student run paper providing a critical discourse towards administration and the UWSA.",19,23,"['▁grass', 'ro', 'ots']",3
agroforestry,"Background Throughout the world, most agroforestry systems have been practiced since the Neolithic period.",14,23,"['▁ag', 'ro', 'for', 'est', 'ry']",5
antiaircraft,"Antiaircraft fire set his plane afire, and he glided to a flaming landing on Dalen Island under artillery fire.",19,23,"['▁ant', 'ia', 'ircraft']",3
insurgent,The well-placed and well-ranged German units struck the column of insurgent units with well-aimed machine-gun fire.,16,23,"['▁ins', 'urg', 'ent']",3
informant,The arrest was made possible on information provided by an informant who was paid the reward money.,17,23,"['▁inform', 'ant']",2
stimulant,MDPV remained an obscure stimulant until around 2004 when it was reportedly sold as a designer drug.,17,22,"['▁stim', 'ul', 'ant']",3
lemon,"A slice of lemon, a slice of anchovy, and a few capers are placed on top of the cutlet.",19,22,"['▁le', 'mon']",2
headline,"Kato had recently appeared on the front page of an anti-gay newspaper under the headline ""Hang Them"".",17,22,"['▁head', 'line']",2
int,"The air force has two regiments of Fusiliers Commandos de l'Air, primarily base defence troops but which have reportedly taken part int anti-terrorism operations.",24,22,['▁int'],1
auditor,Lead auditor is a position between senior auditor and head of division.,12,22,"['▁aud', 'itor']",2
