word,selected_sentence,sentence_length,original_frequency
antisemitism,The group's first task would be a national strategy to combat antisemitism.,12,53
negotiation,"However, the government still continued the policy of appeasement and negotiation.",11,53
solvent,"During each cycle, a portion of the non-volatile compound dissolves in the solvent.",13,53
boiler,The steam plant consisted of 42 Yarrow boilers arranged in seven boiler rooms.,13,53
kidnapping,"He was also wanted by the Assam Police for various cases including killing, kidnapping and extortion.",16,53
trombone,Trombolenium: Solo Trombone Improvisations 1986–1995 is a live solo album by trombonist Paul Rutherford.,14,53
revolutionary,"It organized its military arm two months after the split, calling it the Revolutionary Proletarian Army.",16,53
giant,"After the end of their partnership with Spanish giant, Atletico de Kolkata has been rechristened to ATK.",17,52
diving,"Girls may compete in sports such as hockey, netball, basketball, waterpolo, swimming, aerobics, squash, diving, rowing, softball, soccer and tennis.",20,52
eligibility,"Elmore will have one year of eligibility after graduating in three years from Princeton University, where he played baseball.",19,52
clergyman,The type specimen was collected by American clergyman and botanist Gotthilf Heinrich Ernst Muhlenberg.,14,52
duck,"At that point, other writers and artists were enlisted to create the Donald Duck adventure stories.",16,52
timing,"Therefore, successful entrainment depends on both the melatonin dosage and the appropriate timing of melatonin administration.",16,52
ha,The dam impounds about 20 ha of land when full and can store 2526 thousand cubic meters of water.,19,52
texture,"Throughout, the simple yet elegant enhancements work to take us beyond the page, adding depth and texture to the story.",20,52
badminton,This tournament was organized by the Spanish Badminton Federation and was sanctioned by the BWF.,15,52
dot,"In those experiments, the researchers used a picture instead of dot patterns.",12,52
mushroom,"Also a recipe for șnițel de ciuperci, a mushroom fritter, is common.",12,52
genocide,It is the only film that contains documented segments of footage of actual killing during the Rwandan genocide.,18,52
somebody,"1 (2003), as well as the lead single from Liberty X's second studio album, Being Somebody (2003).",17,52
chronicle,Justinger's Bernese Chronicle had a deep impact on the historiography of Switzerland.,12,52
epilepsy,Rhythmic movement disorder can also have symptoms that overlap with epilepsy.,11,52
midst,"Nilanjana, one of the dancers, is said to have died in midst of the series of vigorous dance movements.",19,52
working,It funds New Jersey-focused working towards a just and equitable state.,11,52
inhibitor,This checkpoint inhibitor function of pembrolizumab thus has immune-dysfunction side effects as a result.,14,52
indoor,"Women's sports offered are basketball, softball, cross country, indoor track, outdoor track, volleyball, tennis, golf, swimming, and soccer.",18,52
lip,The video consists of T-Wayne dancing around while lip syncing.,10,52
taxation,The plan also made funds raised by taxation immediately available to the community to support community interests.,17,52
jungle,"The episodes follow Leo and his family, Lyre, Rune and Rukkio as they face many different challenges in the jungle.",20,52
moniker,Pianoworks is the tenth album by American ambient artist Matthew Cooper under the moniker Eluvium.,15,52
notation,"Examples If then using asymptotic notation, with the asymptotic parameter.",10,52
agenda,April April 6 - Kenyan minister of Justice Martha Karua resigns citing lack of progress with her reform agenda.,19,52
marble,The sculpture is a life-size full-length female figure rendered in marble.,11,52
cardinal,He took part in the Council of Florence (1431–45) as the representative of Cardinal Louis Aleman.,16,52
propeller,"He came under fire immediately after that, his craft suffering a shattered propeller and splintered frame.",16,52
lit,"Sente means 'preceding move' (lit: 'before hand'), whereas gote means 'succeeding move' (lit: after hand').",15,52
irrigation,"Therefore, two irrigation channels now flow into the plain, crossing the city centre from east to west.",17,52
cassette,"This includes cassette singles, CD singles, digital downloads and streaming.",10,52
logistics,The logistics causes more than 14% percent of emissions worldwide.,10,52
tongue,"It was not given for me to bear the Hungarian colors, to make happy those who speak my mother tongue.",20,52
communion,"The episcopal ministry of a person living in a same-sex relationship is not acceptable to the majority of the Communion.""",20,52
overhaul,"As of 2021, Northern Rock is undergoing a heavy overhaul at the Old Hall Farm workshops near Bouth.",18,52
critique,The best-selling 1920 novel Main Street was a critique of small-town life by the American writer Sinclair Lewis.,18,52
niece,She is the great great niece of Francis Poulenc and Jacques La Presle.,13,52
textbook,It took Keeton approximately five years to write the first edition of the textbook.,14,52
miner,His works express longing of a miner for a landscape of Kujawy.,12,52
threshold,NEOS – The New Austria narrowly passed the electoral threshold and entered the Landtag for the first time with 4%.,20,52
herself,"attempts to tow Amethyst off the mud bank, but is herself hit several times and has to depart.",18,52
industrialist,"Charles' son, David (Thomas' nephew) was a noted industrialist and owner of the Cowan & Co. paperworks.",17,52
con,Además cuenta con el parque nacional Santuario de Manatíes de Estero Hondo.,12,51
cream,"Interfering socialites and cops are dealt with in typical Stooges-style: face slaps, hammer hits, and the ever-dependable cream pie throws.",20,51
gym,"And you know, they would go to the gym in the day, and that really conflicted with my warehouse hours.",20,51
collegiate,"A power forward from Washington, D.C., he was known for his high school and collegiate careers.",16,51
tramway,In 1870 these were linked to Pontsmill by a third tramway along the valley floor.,15,51
flank,"A midfielder, he is predominantly right-footed but can play on either flank or in the middle.",16,51
ladder,The galley is located on the port side at the companionway ladder.,12,51
mob,"He struggled and tried to plead with the mob, ripping his shirt in the process.",15,51
patriarch,"On February 24, 2013 Neophyte of Bulgaria was elected as the new patriarch.",13,51
masterpiece,"In 1898 Holz published his masterpiece, the poetry volume Phantasus, a work in which he displayed his linguistic virtuosity.",19,51
captivity,She lived five years later in captivity in the castle of Nocera Inferiore where she died in 1271.,18,51
diagram,It's worth noting that supporting services are excluded from the diagram as they are not directly utilized by people.,19,51
tent,Tivoli - 1920 Klessens Family - travelling tent La Gayola - an Art Deco spiegeltent 1947 which holds 350 people.,20,51
concerto,"2, Mozart's Clarinet Concerto, the third movement of Karl Stamitz's Clarinet Concerto No.",13,51
cipher,"The cipher bureau was organized as follows: {| class=""wikitable"" |- !",11,51
statehood,"Some stateless nations have a history of statehood, while some were always stateless.",13,51
yellow,"These computers used a modified ""dark yellow"" color that appeared to be brown.",13,51
tehsil,"Ashta tehsil is a tehsil in Sehore district, Madhya Pradesh, India.",11,51
crypt,A well-defined subset of the Modular Crypt Format was created during the Password Hashing Competition.,15,51
pig,"Khanzir, a male pig, was given to Kabul Zoo by the People's Republic of China in 2002.",17,51
guerrilla,"They were, he said, being given instruction in urban guerrilla warfare.",11,51
ensign,He received a commission as ensign in the East India Company's Bengal Army on 22 February 1843.,17,51
schooner,"Assistance to schooner Mary Bidwell On September 6, 1893, under Capt.",11,51
genetics,An application of the test in genetics is the transmission disequilibrium test for detecting linkage disequilibrium.,16,51
headmaster,"1992 saw the official opening of the new headmaster's residence, Kenyon Lett House.",13,51
special,The special later went on to be nominated for a primetime Emmy.,12,51
plaza,Saldaña is also known for its popular open-air market day held each Tuesday in the town's central plaza.,18,51
refurbishment,"A Welcome room was added during the 2018 refurbishment, resembling the one at the California version.",16,51
regency,"In accordance with the Succession to the Crown Act, Thomas Parker, Lord Chief Justice, became head of the regency.",19,51
pyramid,It was named by George Wharton James for the fanciful resemblance to the famous pyramid constructed by Egyptian Pharaoh Cheops.,20,51
slate,"The chapel features a steep, gable roof of slate and tall, narrow windows with two-story arches.",16,51
rush,"Dooley and Tracy rush Jerry Lee to a hospital, where the reluctant surgeon operates.",14,51
splint,"Several days of cold therapy, sweats, and NSAIDs can help a ""hot"" splint.",13,51
onset,"The age of onset varies between 4 and 12 months, with a peak incidence around 7 months.",17,51
pigeon,"The Doocot: On top of Castle hill, there is a 17th-century pigeon loft named the Doocot or Dovecot.",18,51
disclosure,"In 2020, the initiative announced 5 key areas of focus: security, privacy, advertising practices, disclosure and transparency, and social responsibility.",20,51
wet,Transmission was by multi-plate wet clutch to a five speed gearbox.,11,51
transform,Then the integral form of the generalized Borel transform is The ordinary Borel transform is regained by setting .,19,51
smartphone,The use of smartphone significantly increased since the late 2000s.,10,51
canasta,"The other team could then pick the pack and get 2,500 points for a Pure Seven Canasta.",17,50
surge,Kennedy was the first Senator in the 110th Congress to propose legislation opposing the troop surge.,16,50
exterior,The exterior is covered in buff brick with cast stone detailing.,11,50
nightclub,Chin Fu shows up at a nightclub to revenge for his father's murder.,13,50
flotilla,In April 1909 she was assigned to the 3rd Destroyer Flotilla on its formation at Harwich.,16,50
cooling,Heat balance calorimeter The cooling/heating jacket controls the temperature of the process.,12,50
anthropology,Oakley's anthropology department in 1964 where she became acquainted with tool-artefacts and gained a knowledge of human skeletal anatomy.,19,50
racist,"In February 2009, the SPLC again described his views as racist.",11,50
pupfish,"Primary threats to pupfish are habitat loss due to water extraction, drought and pollution, and introduced species.",17,50
ran,"When Stewart balked at having to pay his losses, the three men grabbed the sack and ran.",17,50
supplement,Contents Clanbook: Gangrel is a supplement about the gangrel clan.,10,50
ligament,X-rays determined the aging thirty-one year old Angott had chipped a rib and suffered a torn ligament in his foot.,20,50
choke,Josh Neer via submission (guillotine choke) Flyweight bout: John Dodson def.,11,50
bluegrass,"EmiSunshine's music is generally described as country, but also exhibits Americana, bluegrass, blues and gospel influences.",16,50
inequality,Atrophy of thigh muscles may occur from disuse and an inequality of leg length.,14,50
constant,Bertamini also criticized the Swami study for only changing the leg length while keeping the arm length constant.,18,50
bracket,IdrA fell to the loser's bracket in his first match against former teammate Axslav 2–1.,15,50
neutrality,"Abandoning American Neutrality: Woodrow Wilson and the Beginning of the Great War, August 1914 – December 1915 (Springer, 2013).",19,50
reliability,"In seven years of racing, Hail established for himself a reputation of reliability, strength and durability.",16,50
dispersion,They result from a delicate balance between acoustic dispersion and nonlinear effects.,12,50
bravery,Rabbi Kogan and his son were later awarded a medal of bravery by President Vladimir Putin.,16,50
commencement,Mission College's first commencement took place in June 1977 with the president of Santa Clara University as commencement speaker.,19,50
dinosaur,CAGS-IG-07-CM-001 Iberomesornis (Early Cretaceous) Noguerornis (Early Cretaceous) External links Translated version of biolib.cz page Enantiornitheans Prehistoric dinosaur families,18,50
opposite,"The polar opposite to Jerry, Frank is short-tempered and cunning.",10,50
deficiency,Type 1 diabetes is characterized by insulin deficiency and requires daily administered doses of insulin.,15,50
diver,"Speleonaut (named from the Greek words for ""cave"" and ""sailor"") is the submersible used by the cave diver Jochen Hasenmayer.",20,50
hate,The school said it was targeted by hate calls following the broadcast.,12,50
allowance,"See also Capital Cost Allowance - Income Tax Act (R.S.C., 1985, c. 1 (5th Supp.))",15,50
feminine,"About sketches Baker's Uma is a collection of sketches of the Hindu goddess, also known for feminine power.",18,50
momentum,"In the late 20th century, a corrective missiological shift occurred that continues to gain momentum.",15,50
belongs,"He also wrote that the series as a whole ""belongs to what might be called a meta-genre"".",17,50
crossbill,The crossbill will then use a groove inside its mouth to shell the seed to eventually eat it.,18,50
fit,"Hansen was hospitalized for several months, before he was declared fit for duty again.",14,50
breakdown,"Live performances ""Bleed It Out"" includes a slow chorus breakdown at the end, and Rob Bourdon's extended drum solo.",19,50
networking,"There, 1,500 to 4,000 people took part in a march organised with the help of the social networking site, ""Facebook"".",20,50
psychiatrist,Life She studied medicine at Otago University and has worked as a doctor and forensic psychiatrist.,16,50
quantum,Roger Penrose discusses his experiment on the BBC (25 minutes in) Quantum measurement Interpretations of quantum mechanics,17,50
guilt,He explains that he posed as David's friend and visited Missy out of guilt.,14,50
trim,Both approaches to the bridge are painted in red with white trim.,12,50
sire,"It was a horse called Cragsman, by the same sire but with a different dam.",15,50
green,"Zephyranthes carinata has large bright pink flowers, around , and green strap-like leaves.",13,50
rhetoric,The government responded with rhetoric that explicitly feminized the new roles.,11,49
contraction,"CCK also induces gallbladder contraction and the release of bile, which may further dilute enzyme concentrations.",16,49
disturbance,Closing remarks Arieti maintains that in every case of schizophrenia that he studied serious family disturbance was found.,18,49
conscription,"Likewise, the use of Irish workers, because they were exempt from conscription, was another source of resentment.",17,49
controller,"Removing the reverser handle from the control stand in the neutral position locks the throttle controller, effectively disabling the locomotive.",20,49
immune,"The secretion weakens the tree and temporarily diminishes its immune system, whereby the fungus can spread along the xylem.",19,49
described,References longulus Beetles described in 1850 Taxa named by John Lawrence LeConte,12,49
civilian,"Patriotism and Propaganda in First World War Britain: The National War Aims Committee and Civilian Morale (2013) O'Prey, Paul.",19,49
adjacent,"Aughton is a hamlet adjacent to the village of Collingbourne Kingston in Wiltshire, England.",14,49
dictionary,"Play then proceeds with the dictionary going to another player, which starts a new turn.",15,49
consonant,"joli, jolie); although in many cases the final consonant is pronounced in feminine forms, but silent in masculine forms (e.g.",20,49
hell,"Elo rankings have also been ""abused"" by players who create parties of their friends in order to ""escape"" Elo hell.",20,49
trigger,All parts of the trigger are made by stamping from a sheet.,12,49
sharing,The push for digitalisation and data sharing is being pursued both by governments and the commercial sector.,17,49
clone,Returning to her apartment in the Bronx Laura finds the younger clone Gabby has come to ask for her help.,20,49
colliery,Shuttlewood is a former colliery village and thus has a lengthy mining heritage.,13,49
resonance,"They have been tentatively dated at about 80,000–120,000 years old using electron paramagnetic resonance and thermoluminescence dating techniques.",18,49
interstate,"However, Interstate 10 near the California border is reduced to .",11,49
taught,"Schoolteacher Winlaw taught at Aldenham School and Shrewsbury School, then served during World War II in the Intelligence Corps.",19,49
metaphysics,"Kant's metaphysics led Hegel's metaphysics, which Karl Marx transposed from spiritual to material and others gave it a nationalist reading.",20,49
specialization,Specialization is valued similarly to a specialization in the English system.,11,49
saloon,"The engine was next used in the Triumph Vitesse, a sports saloon based on the Herald, in 1962.",18,49
desk,"While working a desk job in records, John erased his involvement with the Company.",14,49
petrol,The XSi 8v 2.0 Petrol had the addition of subtle side skirts.,12,49
acetaldehyde,"Sources of exposure Indoor air Acetaldehyde is a potential contaminant in workplace, indoors, and ambient environments.",16,49
accumulation,Environmental noise Environmental noise is the accumulation of all noise present in a specified environment.,15,49
paradigm,"The main purpose of the procedures in the minimal group paradigm is to exclude ""objective"" influences from the situation.",19,49
carbonate,"Combined with calcium carbonate, as in the shells of crustaceans and molluscs, chitin produces a much stronger composite.",18,49
ambition,"The word ""Chien"" has several meanings: ""To make one's ambition lofty.""",11,49
dispersal,"After the dispersal, the protests continued on next days in front of the Georgian Parliament.",15,49
plea,"Later that month, he changed his plea to not guilty.",10,49
mural,She was a member of the London Society of Mural Decorators and Painters in Tempera.,15,49
climb,"Vörg and Rebitsch immediately began their climb up the Lauper Wall, where they too were caught in the storm.",19,49
metabolism,Metabolic networks are powerful tools for studying and modelling metabolism.,10,49
heroine,"Champak finds out that Bunty has harassed the play's heroine, Anjali, and punishes him.",14,49
staircase,A staircase of four steps go down to a bank of three turnstiles that lead to a token booth.,19,49
turtle,"Similarly, the turtle's voyage across land and sea represented the expedition from earth to underworld.",15,49
aerospace,Leonardo T-100 Italian aerospace company Leonardo S.p.A. (formerly Alenia Aermacchi) is part of a bid with its M-346 Master.,19,49
paradise,"Habitat and distribution The centre of paradise kingfishers is New Guinea: Several species occur on this 786,000 km2 large island.",20,49
selling,"Ngaraard had two stores, the first selling sweets and clothing materials.",11,49
healing,"It has also implemented the structural analysis in rites of healing, performed by catholic priests and pentecostal religious expression.",19,49
scout,He accepted a position to remain within the Colorado Avalanche organization as a professional scout.,15,49
expectation,"Kavanagh and Hausfeld reported that ""induced moods"" did not change the expectation of confidence.",14,49
nose,He played solos with a cigarette in his nose and a longneck beer bottle in his mouth.,17,49
transporter,The gene chrA was found in L. fusiformis and encodes a chromate Cr(VI) transporter that confirms chromate Cr(VI) resistance.,19,49
lime,Soda lime is commonly used in closed-circuit diving rebreathers and in the anesthesia breathing circuit in anesthesia systems.,18,49
clash,Schultz also kicked four goals during the Dockers' later clash against the Swans in round 19 at Optus Stadium.,19,49
abbey,"He was prior at Saint-Barbe-en-Auge, and later entered St. Victor's Abbey, Paris, an Augustinian establishment of canons regular.",18,49
ant,Trichomyrmex scabriceps is a species of ant in the subfamily Myrmicinae.,11,49
elector,Mindelheim was lost 1714 to the Elector of Bavaria under the Treaty of Utrecht.,14,49
challenger,"To complete the card, there was a women's bantamweight bout between former title challenger Liz Carmouche and Katlyn Chookagian.",19,48
narration,"The gameplay is text based, and has the player read narration accompanied by audio and illustrations.",16,48
crush,"Albie is married to his childhood crush, Marthmari (née Groenewald).",10,48
juvenile,"On July 13, three or four replacement supervisors were taken hostage in a roomful of juvenile inmates demanding their freedom.",20,48
kw,It is capable of 100 kW DC CHAdeMO rapid charging.,10,48
million,"Ivanishvili bought Niko Pirosmani's Arsenal Hill at Night, paying a record US$1.5 million for a painting by a Georgian artist.",20,48
coronation,"In 1944, he became King's Counsel and on the coronation of Queen Elizabeth was Queen's Counsel.",16,48
learner,"Once the learner has determined what is the same about the examples of the concept or quality, generalization occurs.",19,48
cooking,"The cooking area is open to the dining area, and guests are expected to help plate and serve.",18,48
termination,000397 revised that termination date and set the District's date of expiration as 31 December 2025.,16,48
fork,"Within weeks of the fork, ADempiere reached the top five of the SourceForge.net rankings.",14,48
gaming,It was based upon Hargrave's gaming system known as Arduin.,10,48
catalyst,The broader purpose of the foundation was to stand as a catalyst for change in the Native American community.,19,48
exists,B8 is also included although only half of its [16] symmetry exists in these polytopes.,15,48
genius,"Artists and writers receive no money for their work, with Sociolanders likening selling one's genius to prostitution.",17,48
versa,Sibinuang and Dang Tuanku provides the trip services from Padang (Simpang Haru) to Pariaman vice versa.,16,48
trace,"His luck had finally run out, since both he and his team disappeared without a trace.",16,48
concession,December 12 – First section of Chemin de fer de Petite Ceinture concession in Paris opens.,16,48
cow,it is a soup made up of cuts from cow feet.,11,48
cornerback,Cooper lost his starting cornerback job to Jamell Fleming after returning from a Week 6 bye.,16,48
gravel,The area around the flooded gravel pit was restored as Chorlton Water Park and is now a Local Nature Reserve.,20,48
proposition,"The objective of abduction is to determine which hypothesis or proposition to test, not which one to adopt or assert.",20,48
favorite,Triple Crown races while being the betting favorite for each race.,11,48
alumnus,"The first graduate was Rosann Spiegel, also a previous FIU alumnus, who finished the program a semester ahead of schedule.",20,48
vulnerability,"Distinct from the previous heatmap issue, this vulnerability relied on Strava's segments feature.",13,48
substrate,"They blow away the substrate, to uncover insect larvae and crustaceans.",11,48
preseason,He remained there the entire season and spent the 2008 preseason with the team before being waived on August 29.,20,48
crab,The Crab Pulsar is one of very few pulsars to be identified optically.,13,48
convenience,Several chromosome regions have been defined by convenience in order to talk about gene loci.,15,48
pod,"As the book notes, the three elements of seed-pod, spur, and rock formation enable the continued existence of the Mulefa.",20,48
plague,"(All-aluminum systems in semiconductor fabrication eliminate the ""purple plague""—a brittle gold-aluminum intermetallic compound—sometimes associated with pure gold bonding wire.",19,48
lyricist,"The lyricist and composer Florian did most of the vocals, and played , guitar and synthesizer.",16,48
cleaning,"Whenever the Prince encounters Baldrick cleaning, he accuses Baldrick of being an anarchist and attempts to strangle him.",18,48
warrant,Daniels orders the MCU to monitor the wiretaps and prepare a warrant for the safe house.,16,48
baseman,"An error by third baseman Brosius scored Sanders, put Finley at third, and Williams at second.",16,48
inauguration,"Charleton claimed it was used by them as a place of assembly, and of the inauguration of kings.",18,48
national,"Patriotism and Propaganda in First World War Britain: The National War Aims Committee and Civilian Morale (2013) O'Prey, Paul.",19,48
collar,"Slowly, but surely, white collar jobs left Hamilton as well.",10,48
wish,"Barbro's dearest birthday wish is to get a dog, but it's too expensive for the family.",16,48
valve,"Normally, ASAs are angled slightly so the gaseous CO2 is always available at the valve of the tank.",18,48
leave,"In a 2007 interview, Murphy explained, ""At the end of my sophomore year, I took a leave of absence.",19,48
advancement,Both the Hunts and Logans considered education the key to the advancement of people of color in society.,18,48
tenth,"The Mexican champion looked strong in the tenth, and took the round.",12,48
soloist,She was the soprano soloist at the first performance of Delius's Idyll in 1933.,14,48
likelihood,"Malay also suggests that ""in all likelihood, he spent only a few years in rural retreat"" in Cumberland.",18,48
subscription,TouchNote was notably one of the first subscription card sending services.,11,48
warhead,"The W27 warhead was in diameter by long, and weighed .",11,47
subset,A select subset of these Committee Specifications are listed in the References section at the end of this article.,19,47
suspicion,"At present time, Satya is seen to escort Sudip to Calcutta on the suspicion of being the murderer.",18,47
essayist,"Kimberly Nguyen (born September 28, 1997) is a Vietnamese-American poet and essayist.",12,47
classmate,"That year, he married a former classmate from the gymnasium at Rimavská Sobota.",13,47
priesthood,Lerma Martínez was born in Spain and was ordained to the priesthood in 1969.,14,47
homer,"Matt Kemp hit a three-run homer in the losing effort, for his 35th of the season.",16,47
motorway,The A1 motorway crosses the settlement's territory south of the village.,11,47
taxonomy,"1538-1603), a Neapolitan Italian composer ""-felis"", a suffix used to denote cats in taxonomy",14,47
jockey,"Fleet Lady (March 6, 1949)A famous jockey hires Pat to find his missing racehorse, Fleet Lady.",16,47
schizophrenia,"He later developed schizophrenia in his teens, not long after returning to home from a private school.",17,47
taxpayer,The code is normally based provided to HMRC by the taxpayer or their employer.,14,47
corvette,"According to the account, Admiral Rainer had been captured by a corvette.",12,47
churchyard,External features In the churchyard is a cross base dating from around 1543.,13,47
bye,"Round robin Great Britain had a bye in draws 4, 7 and 11.",13,47
postgraduate,Faculties The university consists of six faculties and one postgraduate institute and several divisions.,14,47
nomenclature,The color coding of lines was introduced as a matter of having a universal system of signage and nomenclature.,19,47
lobe,The lobe on the top of the anther is itself lobed with yellow fringed edges.,15,47
jew,Dr Sam Rabinovitch would have been the first Jew appointed to the a French-Canadian hospital.,15,47
recession,This recession was its fifth recession since the Lehman shock occurred in 2008.,13,47
microphone,Waters also recorded ambient sounds along Hollywood Boulevard by hanging a microphone from a studio window.,16,47
breakfast,He was hit by another vehicle while riding two blocks away from his home to get some breakfast.,18,47
ruin,Random walk assumptions permit precise calculation of the risk of ruin for a given number of trades.,17,47
vibration,"The new tower provided the durable weather-resistant, vibration-free environment necessary for accurate instrument readings.",14,47
frustration,"As for the motives for ramming, the purposes of relieving frustration, molestation and staged crash have been pointed out.",19,47
feast,"The tale ends up with the feast, supplied by Something-That-Could-Not-Be's magic.",11,47
inference,The valid judgments for the calculus of constructions are derivable from a set of inference rules.,16,47
overall,"Revolution Racing came 2nd overall, which means they will collaborate with a Malaysian team and compete in the world finals.",20,47
lodge,Wilson refused to coordinate or compromise with the new leaders of House and Senate—Senator Henry Cabot Lodge became his nemesis.,20,47
mistress,"His illegitimate son by a Slav mistress, Otto, tried to succeed his brother, but was defeated and killed in battle.",20,47
abstraction,Artworks In the 1970s Priest worked in abstraction using large striped areas of color in her work.,17,47
wit,"Examples of this wit are his sayings: ""The miser did not possess wealth, but was possessed by it.""",18,47
routine,"It was honestly a nice break from my normal routine of playing games all day.""",15,47
flesh,The flesh is white on stipe and cap and it does not change when bruised or exposed to air.,19,47
characterization,The STScI staff also performs the characterization and calibration of the telescope itself.,13,47
magnet,Magnet programs South Mountain High School teaches five of the eleven Magnet programs in the Phoenix Union High School District.,20,47
federation,The federation ran the Australasian Kung Fu Championships from circa 1977/1978.,11,47
diffusion,"The exponential terms correspond to first-order reactions, which in pharmacology corresponds to the number of modelled diffusion compartments.",18,47
glove,"With his tilted trilby and microphone all he needed was a single sequined glove.""",14,47
preface,"The document opens with a Latin preface, and closes with a Latin epilogue and, finally, 50 aphorisms.",17,47
crore,"Results As of 31 March 2019, 15.47 crore people have already enrolled for this scheme.",15,47
suffix,"As it was significantly different from the previous GAZ-24, it was issued the -10 suffix.",15,47
cc,The 1458 cc 12/6 was derived from the Brooklands Six.,10,47
hunger,"In 1929, while still interned, he went on a hunger strike in support of Bhagat Singh.",16,47
sphere,Harrer was impressed with Drexler's desire to have citizen representation in the political sphere and Drexler began attending meetings.,19,47
unrest,Sohan Singh became involved in the nationalist movement and the agrarian unrest that emerged in Punjab in the 1900s.,19,47
homepage,"On 4 May 2014, Google featured a doodle on its homepage on what would have been Hepburn's 85th birthday.",19,47
jewelry,"Moreover, there are showrooms of big clothing and jewelry brands.",10,46
liquor,Restaurant liquor license quotas A quota system for liquor licenses held by restaurants was set by state law in 1933.,20,46
ethnicity,"Gender, ethnicity, race, civil liberties Brown, Victoria Bissell, ""Did Woodrow Wilson’s Gender Politics Matter?""",14,46
oversight,But it was withdrawn when the family vowed to increase their oversight of his behavior.,15,46
stating,Allmusic.com gave it a four out of five stars stating that: RapReviews gave it a 9 out of 10 stars.,20,46
remixes,There were 15 original tracks mixed in with the remixes and freestyles recorded over already-made beats.,16,46
diaspora,Ukrainian American Sports Club — a number of Ukrainian diaspora sport clubs (e.g.,13,46
fcc,"Playoffs |- style=""text-align:center; background:#fcc;"" | 1 | April 1 | St. Louis | L 111–116 | Wilt Chamberlain (37) | Wilt Chamberlain (22) | Guy Rodgers (11) | War Memorial Gymnasium5,231 | 0–1 |- style=""text-align:center; background:#cfc;"" | 2 | April 3 | St. Louis | W 120–85 | Wilt Chamberlain (28) | Wilt Chamberlain (27) | Guy Rodgers (8) | Cow Palace9,063 | 1–1 |- style=""text-align:center; background:#fcc;"" | 3 | April 5 | @ St. Louis | L 109–113 | Wilt Chamberlain (46) | Wilt Chamberlain (23) | Phillips, Rodgers (4) | Kiel Auditorium10,163 | 1–2 |- style=""text-align:center; background:#cfc;"" | 4 | April 8 | @ St. Louis | W 111–109 | Wilt Chamberlain (36) | Wilt Chamberlain (23) | Guy Rodgers (8) | Kiel Auditorium10,118 | 2–2 |- style=""text-align:center; background:#cfc;"" | 5 | April 10 | St. Louis | W 121–97 | Wilt Chamberlain (50) | Chamberlain, Thurmond (15) | Guy Rodgers (12) | Cow Palace10,628 | 3–2 |- style=""text-align:center; background:#fcc;"" | 6 | April 12 | @ St. Louis | L 95–123 | Wilt Chamberlain (34) | Wilt Chamberlain (24) | Guy Rodgers (7) | Kiel Auditorium8,967 | 3–3 |- style=""text-align:center; background:#cfc;"" | 7 | April 16 | St. Louis | W 105–95 | Wilt Chamberlain (39) | Wilt Chamberlain (30) | Guy Rodgers (8) | Cow Palace8,923 | 4–3 |- |- style=""text-align:center; background:#fcc;"" | 1 | April 18 | @ Boston | L 96–108 | Wilt Chamberlain (22) | Wilt Chamberlain (23) | Guy Rodgers (8) | Boston Garden13,909 | 0–1 |- style=""text-align:center; background:#fcc;"" | 2 | April 20 | @ Boston | L 101–124 | Wilt Chamberlain (32) | Wilt Chamberlain (25) | Phillips, Rodgers (4) | Boston Garden13,909 | 0–2 |- style=""text-align:center; background:#cfc;"" | 3 | April 22 | Boston | W 115–91 | Wilt Chamberlain (35) | Wilt Chamberlain (25) | Guy Rodgers (7) | Cow Palace10,981 | 1–2 |- style=""text-align:center; background:#fcc;"" | 4 | April 24 | Boston | L 95–98 | Wilt Chamberlain (27) | Wilt Chamberlain (38) | Guy Rodgers (6) | Cow Palace14,862 | 1–3 |- style=""text-align:center; background:#fcc;"" | 5 | April 26 | @ Boston | L 99–105 | Wilt Chamberlain (30) | Wilt Chamberlain (27) | Guy Rodgers (7) | Boston Garden13,909 | 1–4 |- Awards and records Wilt Chamberlain: NBA All-Star Game, NBA scoring champion, All-NBA First Team Alex Hannum: NBA Coach of the Year Award Nate Thurmond, NBA All-Rookie Team 1st Team References Golden State Warriors seasons San Francisco Golden Golden",415,46
blow,"However, the major blow to trans-Saharan trade was the Battle of Tondibi of 1591–92.",14,46
closer,Khatun issued another statement closer to the deadline that suggested imminent progress.,12,46
performing,"During their time performing locally in Austin, they toured with various local Texas musicians, including Robert Earl Keen.",18,46
whereas,"Internal transmittance refers to energy loss by absorption, whereas (total) transmittance is that due to absorption, scattering, reflection, etc.",19,46
acceleration,"Thus, the beam rider acceleration command is modified to include an extra term.",13,46
spin,"Here is the group of complex matrices with unit determinant, isomorphic to the Lorentz-signature spin group .",17,46
repository,"Its founder, Lord Barnabas D. Sturgeon, discovered the extraordinary Vault, a vast repository of amazing technology.",16,46
landslide,"As expected, Kerry won the state of New York in a landslide.",12,46
inclination,In 2012 and 2014 Max Michaelis reported operating Levitron brand magnetic tops at inclination angles of 45° and 90° (i.e.,20,46
calibration,"For HST, a calibration plan for the observatory is developed each year.",12,46
consecration,The oldest paintings are the consecration crosses from the end of the 15th century.,14,46
ink,"The manuscript is written in ink on parchment, using an Arabic Hijazi script and is still clearly legible.",18,46
spire,The spire was damaged by a storm in 1985 and was rebuilt without the ventilation louvres.,16,46
