Model,Language,Layer,Total Outputs,Unique Outputs,Duplicate Ratio,# Outputs >10,Top 5 %,Entropy (bits),Most Frequent Output,Top 3 Outputs
Llama-2-7b-chat-hf,German,6,10000,4016,59.84%,90,17.31%,9.75,100000000,"{'100000000': 515, '1970er-Jahre': 504, '1)\n\nBitte gib mir': 291}"
Llama-2-7b-chat-hf,German,7,10000,3543,64.57%,96,18.44%,9.34,1970er-Jahre,"{'1970er-Jahre': 506, '1)\n\nBitte gib mir': 460, '100000000': 419}"
Llama-2-7b-chat-hf,German,8,10000,3308,66.92%,103,19.53%,9.12,"1)

Bitte gib mir","{'1)\n\nBitte gib mir': 605, '1970er-Jahre': 456, '100000000': 413}"
Llama-2-7b-chat-hf,German,9,10000,3132,68.68%,104,19.52%,8.95,"1)

Bitte gib mir","{'1)\n\nBitte gib mir': 656, '1970er-Jahre': 474, '100000000': 326}"
Llama-2-7b-chat-hf,German,10,10000,2927,70.73%,108,21.30%,8.75,"1)

Bitte gib mir","{'1)\n\nBitte gib mir': 869, '1970er-Jahre': 440, '1)\n\nIch denke,': 293}"
Llama-2-7b-chat-hf,German,11,10000,2850,71.50%,112,20.03%,8.68,"1)

Bitte gib mir","{'1)\n\nBitte gib mir': 823, '1970er-Jahre': 422, '2)\n\nWelche der beiden ist': 271}"
Llama-2-7b-chat-hf,German,12,10000,2867,71.33%,108,21.16%,8.63,"1)

Bitte gib mir","{'1)\n\nBitte gib mir': 957, '1970er-Jahre': 354, '2)\n\nWelche der beiden W': 296}"
Llama-2-7b-chat-hf,German,13,10000,2905,70.95%,109,21.41%,8.63,"1)

Bitte gib mir","{'1)\n\nBitte gib mir': 946, '1970er-Jahre': 342, '2)\n\nWelche der beiden W': 333}"
Llama-2-7b-chat-hf,German,14,10000,2833,71.67%,111,22.60%,8.58,"1)

Bitte gib mir","{'1)\n\nBitte gib mir': 839, '2)\n\nWelche der beiden W': 416, '3) 4) 5) ': 367}"
Llama-2-7b-chat-hf,German,15,10000,2710,72.90%,100,23.12%,8.47,"1)

Bitte gib mir","{'1)\n\nBitte gib mir': 829, '2)\n\nWelche der beiden W': 467, '3) 4) 5) ': 441}"
Llama-2-7b-chat-hf,German,16,10000,2121,78.79%,85,33.25%,7.51,3) 4) 5) ,"{'3) 4) 5) ': 1162, '2)\n\nWelche der beiden W': 798, '1)\n\nBitte gib mir': 566}"
Llama-2-7b-chat-hf,German,17,10000,2186,78.14%,96,32.45%,7.63,3) 4) 5) ,"{'3) 4) 5) ': 1373, '1)\n\nBitte gib mir': 539, '2)\n\nWelche der beiden W': 514}"
Llama-2-7b-chat-hf,German,18,10000,1897,81.03%,89,35.17%,7.2,3) 4) 5) ,"{'3) 4) 5) ': 1744, '2)\n\nIch denke,': 549, '2)\n\nWelche der beiden W': 546}"
Llama-2-7b-chat-hf,German,19,10000,1691,83.09%,75,43.12%,6.57,3) 4) 5) ,"{'3) 4) 5) ': 2467, '2)\n\nWelche der beiden W': 603, '2)\n\nIch denke,': 458}"
Llama-2-7b-chat-hf,German,20,10000,1100,89.00%,63,52.94%,5.41,3) 4) 5) ,"{'3) 4) 5) ': 3428, '2)\n\nWelche der beiden W': 616, '2) 3) 4) ': 461}"
Llama-2-7b-chat-hf,German,21,10000,1067,89.33%,63,55.83%,5.24,3) 4) 5) ,"{'3) 4) 5) ': 3763, '2)\n\nWelche der beiden W': 506, '2) 3) 4) ': 460}"
Llama-2-7b-chat-hf,German,22,10000,775,92.25%,51,62.30%,4.48,3) 4) 5) ,"{'3) 4) 5) ': 4507, '2)\n\nWelche der beiden W': 652, '2) 3) 4) ': 392}"
Llama-2-7b-chat-hf,German,23,10000,614,93.86%,53,62.23%,4.39,3) 4) 5) ,"{'3) 4) 5) ': 4333, '2)\n\nWelche der beiden W': 724, '2) 3) 4) ': 395}"
Llama-2-7b-chat-hf,German,24,10000,577,94.23%,55,64.49%,4.21,3) 4) 5) ,"{'3) 4) 5) ': 4583, '2)\n\nWelche der beiden W': 580, '2) 3) 4) ': 545}"
Llama-2-7b-chat-hf,German,25,10000,472,95.28%,48,65.26%,4.16,3) 4) 5) ,"{'3) 4) 5) ': 4309, '2)\n\nWelche der beiden W': 741, '2) 3) 4) ': 629}"
Llama-2-7b-chat-hf,German,26,10000,415,95.85%,40,67.48%,3.93,3) 4) 5) ,"{'3) 4) 5) ': 4642, '2)\n\nWelche der beiden W': 758, '2) 3) 4) ': 510}"
Llama-2-7b-chat-hf,German,27,10000,365,96.35%,45,70.15%,3.49,3) 4) 5) ,"{'3) 4) 5) ': 5599, '2)\n\nWelche der beiden W': 455, '2)\n\nIch denke,': 374}"
Llama-2-7b-chat-hf,German,28,10000,326,96.74%,46,72.70%,3.17,3) 4) 5) ,"{'3) 4) 5) ': 6214, '\n\nDie Antwort ist: 2': 296, '2)\n\nWelche der beiden W': 273}"
Llama-2-7b-chat-hf,German,29,10000,350,96.50%,51,75.76%,2.95,3) 4) 5) ,"{'3) 4) 5) ': 6665, '\n\nDie Antwort ist: 2': 359, '2)\n\nIch denke,': 206}"
Llama-2-7b-chat-hf,German,30,10000,362,96.38%,59,72.46%,3.4,3) 4) 5) ,"{'3) 4) 5) ': 5975, '\n\nDie Antwort ist: 2': 578, '\n\nIch denke, das ist': 261}"
Llama-2-7b-chat-hf,German,31,10000,500,95.00%,44,81.56%,2.48,3) 4) 5) ,"{'3) 4) 5) ': 7645, '3) 4) 5)\n': 183, '2) 3) 4) ': 152}"
Llama-2-7b-chat-hf,German,32,10000,933,90.67%,90,41.74%,6.15,3) 4) 5) ,"{'3) 4) 5) ': 2669, '3)\n\nWelche der beiden W': 440, '3) 4) 5)\n': 404}"
Llama-2-7b-chat-hf,Korean,1,10000,176,98.24%,120,15.78%,6.62,두  3) ��,"{'두  3) ��': 397, '네  3) ��': 358, '말  3) ��': 305}"
Llama-2-7b-chat-hf,Korean,2,10000,350,96.50%,143,16.83%,6.9,두 번 나,"{'두 번 나': 419, '직  3) ��': 352, '반  3) ��': 336}"
Llama-2-7b-chat-hf,Korean,3,10000,905,90.95%,177,12.12%,8.02,반  3) ��,"{'반  3) ��': 266, '병  3) ��': 250, '노  3) ��': 244}"
Llama-2-7b-chat-hf,Korean,4,10000,1514,84.86%,192,9.77%,8.78,물  3) ��,"{'물  3) ��': 250, '독  3) ��': 190, '병  3) ��': 187}"
Llama-2-7b-chat-hf,Korean,5,10000,2280,77.20%,181,9.00%,9.54,직업  3),"{'직업  3)': 237, '물  3) ��': 217, '반응  3)': 151}"
Llama-2-7b-chat-hf,Korean,6,10000,3276,67.24%,160,7.02%,10.32,직업  3),"{'직업  3)': 187, '두 번 나': 180, '반응  3)': 134}"
Llama-2-7b-chat-hf,Korean,7,10000,3516,64.84%,145,6.04%,10.48,두 번 나,"{'두 번 나': 176, '직업  3)': 157, '반응  3)': 113}"
Llama-2-7b-chat-hf,Korean,8,10000,3797,62.03%,141,7.22%,10.66,두 번 나,"{'두 번 나': 227, '직업  3)': 194, '반응  3)': 116}"
Llama-2-7b-chat-hf,Korean,9,10000,3871,61.29%,130,7.26%,10.7,두 번 나,"{'두 번 나': 220, '직업  3)': 197, '변경\n\n1. ': 115}"
Llama-2-7b-chat-hf,Korean,10,10000,4000,60.00%,127,7.62%,10.75,두 번 나,"{'두 번 나': 263, '직업  3)': 153, '변경\n\n1. ': 133}"
Llama-2-7b-chat-hf,Korean,11,10000,4212,57.88%,122,8.31%,10.81,두 번 나,"{'두 번 나': 313, '직업  3)': 177, '변경\n\n1. ': 121}"
Llama-2-7b-chat-hf,Korean,12,10000,4212,57.88%,115,7.96%,10.81,두 번 나,"{'두 번 나': 290, '변경\n\n1. ': 147, '직업  3)': 141}"
Llama-2-7b-chat-hf,Korean,13,10000,4324,56.76%,114,7.04%,10.91,두 번 나,"{'두 번 나': 256, '직업  3)': 147, '변경\n\n1. ': 121}"
Llama-2-7b-chat-hf,Korean,14,10000,4340,56.60%,115,6.47%,10.94,두 번 나,"{'두 번 나': 212, '직업  3)': 149, '변경\n\n1. ': 103}"
Llama-2-7b-chat-hf,Korean,15,10000,4268,57.32%,124,6.29%,10.92,두 번 나,"{'두 번 나': 216, '직업  3)': 138, '변경\n\n1. ': 102}"
Llama-2-7b-chat-hf,Korean,16,10000,4193,58.07%,109,8.71%,10.67,두 번 나,"{'두 번 나': 431, '직업  3)': 175, '변경\n\n1. ': 97}"
Llama-2-7b-chat-hf,Korean,17,10000,4071,59.29%,106,9.09%,10.61,두 번 나,"{'두 번 나': 433, '직업  3)': 161, '변경\n\n1. ': 112}"
Llama-2-7b-chat-hf,Korean,18,10000,4064,59.36%,105,7.84%,10.73,두 번 나,"{'두 번 나': 324, '직업  3)': 146, '반응  3)': 113}"
Llama-2-7b-chat-hf,Korean,19,10000,4120,58.80%,115,8.03%,10.75,두 번 나,"{'두 번 나': 314, '직업 3)': 148, '반응  3)': 141}"
Llama-2-7b-chat-hf,Korean,20,10000,4004,59.96%,114,9.42%,10.62,두 번 나,"{'두 번 나': 428, '직업 3)': 172, '반응  3)': 122}"
Llama-2-7b-chat-hf,Korean,21,10000,3910,60.90%,116,10.20%,10.52,두 번 나,"{'두 번 나': 519, '직업 3)': 165, '반응  3)': 137}"
Llama-2-7b-chat-hf,Korean,22,10000,3698,63.02%,109,12.25%,10.24,두 번 나,"{'두 번 나': 673, '직업 3)': 177, '반응  3)': 139}"
Llama-2-7b-chat-hf,Korean,23,10000,3227,67.73%,124,14.94%,9.76,두 번 나,"{'두 번 나': 839, '직업 3)': 204, '반응  3)': 192}"
Llama-2-7b-chat-hf,Korean,24,10000,3174,68.26%,123,15.94%,9.68,두 번 나,"{'두 번 나': 923, '직업 3)': 215, '반응  3)': 176}"
Llama-2-7b-chat-hf,Korean,25,10000,3007,69.93%,116,19.47%,9.3,두 번 나,"{'두 번 나': 1217, '직업 3)': 249, '반응  3)': 184}"
Llama-2-7b-chat-hf,Korean,26,10000,2526,74.74%,108,26.19%,8.5,두 번 나,"{'두 번 나': 1752, '직업 3)': 260, '반응  3)': 255}"
Llama-2-7b-chat-hf,Korean,27,10000,2293,77.07%,104,31.11%,7.97,두 번 나,"{'두 번 나': 2265, '변경  3) �': 236, '직업 3)': 228}"
Llama-2-7b-chat-hf,Korean,28,10000,1968,80.32%,95,39.11%,7.13,두 번 나,"{'두 번 나': 3139, '직업 3)': 219, '물고기  3) ': 206}"
Llama-2-7b-chat-hf,Korean,29,10000,1567,84.33%,86,45.98%,6.33,두 번 나,"{'두 번 나': 3684, '물고기  3) ': 338, '변경  3) �': 202}"
Llama-2-7b-chat-hf,Korean,30,10000,1307,86.93%,76,53.76%,5.54,두 번 나,"{'두 번 나': 4428, '물고기  3) ': 404, '직업 3)': 206}"
Llama-2-7b-chat-hf,Korean,31,10000,1470,85.30%,71,52.05%,5.93,두 번 나,"{'두 번 나': 3999, '물고기  3) ': 379, '3) 4) 5)\n': 327}"
Llama-2-7b-chat-hf,Korean,32,10000,1393,86.07%,73,53.07%,5.86,3) 4) 5) ,"{'3) 4) 5) ': 3536, '3) 4) 5)\n': 907, '2) 3) 4) ': 448}"
gemma-3-12b-it,English,1,10000,5286,47.14%,84,7.98%,11.27," 1) 1)

The answer is","{' 1) 1)\n\nThe answer is': 299, ' 1) 3) 1) ': 146, ' ণ\n\nThe answer is ণ.\n\n': 140}"
gemma-3-12b-it,English,2,10000,6008,39.92%,55,10.77%,11.41," 1) 1)

The answer is","{' 1) 1)\n\nThe answer is': 572, ' 1) 3) 1) ': 248, ' ণ\n\nThe answer is ণ.\n\n': 99}"
gemma-3-12b-it,English,3,10000,8032,19.68%,27,6.20%,12.43," 1) 1)

The answer is","{' 1) 1)\n\nThe answer is': 291, ' 1) 3) 1) ': 130, ' 1) 3) 4) ': 97}"
gemma-3-12b-it,English,4,10000,8621,13.79%,15,7.45%,12.54," 1) 1)

The answer is","{' 1) 1)\n\nThe answer is': 269, ' 1) 3) 4) ': 197, ' 3) 4) 5) ': 121}"
gemma-3-12b-it,English,5,10000,8590,14.10%,14,8.22%,12.46, 1) 3) 4) ,"{' 1) 3) 4) ': 247, ' 1) \n\nThis is a tricky one': 237, ' 1) 1)\n\nThe answer is': 192}"
gemma-3-12b-it,English,6,10000,8757,12.43%,16,6.50%,12.59, 1) 3) 4) ,"{' 1) 3) 4) ': 205, ' 1) \n\nThis is a tricky one': 187, ' 1) 1)\n\nThe answer is': 131}"
gemma-3-12b-it,English,7,10000,9008,9.92%,18,4.74%,12.77, 1) 3) 4) ,"{' 1) 3) 4) ': 142, ' 1) \n\nThis is a tricky one': 105, ' 1)\n\nThe answer is: 1': 84}"
gemma-3-12b-it,English,8,10000,9105,8.95%,19,3.93%,12.83, 1) 3) 4) ,"{' 1) 3) 4) ': 128, ' 1)\n\nThe answer is: 1': 85, ' 1) \n\nThis is a tricky one': 61}"
gemma-3-12b-it,English,9,10000,9036,9.64%,19,4.16%,12.79, 1) 3) 4) ,"{' 1) 3) 4) ': 133, ' 1)\n\nThe answer is: 1': 110, ' 1) 1)\n\nThe answer is': 58}"
gemma-3-12b-it,English,10,10000,9131,8.69%,17,3.58%,12.85, 1) 3) 4) ,"{' 1) 3) 4) ': 107, ' 1)\n\nThe answer is: 1': 96, ' 1)\n\nThis is a tricky one!': 56}"
gemma-3-12b-it,English,11,10000,9202,7.98%,16,3.29%,12.89," 1) 1)

The answer is","{' 1) 1)\n\nThe answer is': 75, ' 1)\n\nThe answer is: 1': 71, ' 1) 1)\n\nNext is the': 70}"
gemma-3-12b-it,English,12,10000,9220,7.80%,14,3.04%,12.91," 1) 1)

The answer is","{' 1) 1)\n\nThe answer is': 64, ' 1) 1)\n\nNext is the': 63, ' 1) 3) 4) ': 62}"
gemma-3-12b-it,English,13,10000,9256,7.44%,13,3.29%,12.93, 1) 1) 1) ,"{' 1) 1) 1) ': 71, ' 1) 3) 1) ': 69, ' 1) 1)\n\nNext is the': 69}"
gemma-3-12b-it,English,14,10000,9202,7.98%,16,4.27%,12.88," 1) 

This is a tricky one","{' 1) \n\nThis is a tricky one': 119, ' 1) 3) 1) ': 93, ' 1) 1) 1) ': 93}"
gemma-3-12b-it,English,15,10000,9113,8.87%,13,4.74%,12.84," 1) 

This is a tricky one","{' 1) \n\nThis is a tricky one': 118, ' 1) 1) 1) ': 111, ' 1) 3) 1) ': 94}"
gemma-3-12b-it,English,16,10000,9107,8.93%,12,4.63%,12.84," 1) 

This is a tricky one","{' 1) \n\nThis is a tricky one': 120, ' 1)\n\nThis is a tricky one!': 95, ' 1) 1) 1) ': 91}"
gemma-3-12b-it,English,17,10000,8914,10.86%,14,5.72%,12.7," 1)

This is a tricky one!","{' 1)\n\nThis is a tricky one!': 256, ' 1) \n\nThis is a tricky one': 147, ' 1) 3) 1) ': 67}"
gemma-3-12b-it,English,18,10000,8688,13.12%,15,8.37%,12.46," 1)

This is a tricky one!","{' 1)\n\nThis is a tricky one!': 456, ' 1) \n\nThis is a tricky one': 212, ' 1) 3) 1) ': 73}"
gemma-3-12b-it,English,19,10000,8548,14.52%,17,8.43%,12.38," 1)

This is a tricky one!","{' 1)\n\nThis is a tricky one!': 452, ' 1) \n\nThis is a tricky one': 187, ' 1) 3) 1) ': 89}"
gemma-3-12b-it,English,20,10000,8340,16.60%,20,8.76%,12.28," 1)

This is a tricky one!","{' 1)\n\nThis is a tricky one!': 413, ' 1) \n\nThis is a tricky one': 169, ' 1) 3) 1) ': 130}"
gemma-3-12b-it,English,21,10000,8490,15.10%,20,8.09%,12.36," 1)

This is a tricky one!","{' 1)\n\nThis is a tricky one!': 456, ' 1) \n\nThis is a tricky one': 111, ' 1) 3) 1) ': 85}"
gemma-3-12b-it,English,22,10000,8337,16.63%,22,7.84%,12.28," 1)

This is a tricky one!","{' 1)\n\nThis is a tricky one!': 358, ' 1) 1)\n\nThe answer is': 135, ' 1) \n\nThis is a tricky one': 100}"
gemma-3-12b-it,English,23,10000,8013,19.87%,27,7.91%,12.14," 1)

This is a tricky one!","{' 1)\n\nThis is a tricky one!': 273, ' 1) 3) 2\n\nThe': 179, ' 3) 4) 5) ': 159}"
gemma-3-12b-it,English,24,10000,7007,29.93%,38,12.34%,11.37, 3) 4) 5) ,"{' 3) 4) 5) ': 370, ' 1) 3) 2\n\nThe': 295, ' 1)\n\nThis is a tricky one!': 269}"
gemma-3-12b-it,English,25,10000,6509,34.91%,38,17.40%,10.84, 3) 4) 5) ,"{' 3) 4) 5) ': 714, ' 1) 3) 2\n\nThe': 330, ' 1) 1)\n\nThe next word': 273}"
gemma-3-12b-it,English,26,10000,5804,41.96%,44,21.97%,10.19, 3) 4) 5) ,"{' 3) 4) 5) ': 1073, ' 1) 3) 2\n\nThe': 422, ' banana banana\n\nThe next word is: 3': 259}"
gemma-3-12b-it,English,27,10000,4504,54.96%,38,34.95%,8.5, 3) 4) 5) ,"{' 3) 4) 5) ': 2603, ' 1) 1)\n\nThe next word': 273, ' banana banana\n\nThe next word is: 3': 265}"
gemma-3-12b-it,English,28,10000,4019,59.81%,38,40.36%,7.79, 3) 4) 5) ,"{' 3) 4) 5) ': 3164, ' 1) 2)\n\nThis is a': 238, ' 1) 1)\n\nThe next word': 225}"
gemma-3-12b-it,English,29,10000,2794,72.06%,39,50.68%,6.46, 3) 4) 5) ,"{' 3) 4) 5) ': 3576, ' 1) 2)\n\nThis is a': 587, ' 2\n\nNext is the same word twice:': 376}"
gemma-3-12b-it,English,30,10000,2664,73.36%,36,56.60%,5.86, 3) 4) 5) ,"{' 3) 4) 5) ': 4607, ' 1) 2)\n\nThis is a': 404, ' 2\n\nNext is the same word twice:': 326}"
gemma-3-12b-it,English,31,10000,2420,75.80%,38,59.07%,5.58, 3) 4) 5) ,"{' 3) 4) 5) ': 4793, ' 1) 2)\n\nThis is a': 361, ' 2\n\nNext is the same word twice:': 358}"
gemma-3-12b-it,English,32,10000,1800,82.00%,38,65.11%,4.72, 3) 4) 5) ,"{' 3) 4) 5) ': 5427, ' 2\n\nNext is the same word twice:': 432, ' 1)\n\nThe next word is: ': 244}"
gemma-3-12b-it,English,33,10000,1091,89.09%,41,69.97%,4.06, 3) 4) 5) ,"{' 3) 4) 5) ': 5398, ' 2\n\nNext is the same word twice:': 723, ' 1)\n\nThe next word is: ': 369}"
gemma-3-12b-it,English,34,10000,1096,89.04%,40,69.08%,4.13, 3) 4) 5) ,"{' 3) 4) 5) ': 5244, ' 2\n\nNext is the same word twice:': 732, ' 1)\n\nThe next word is: ': 485}"
gemma-3-12b-it,English,35,10000,418,95.82%,35,75.25%,3.39, 3) 4) 5) ,"{' 3) 4) 5) ': 4823, ' 2\n\nNext is the same word twice:': 1478, ' 1)\n\nThe next word is: ': 576}"
gemma-3-12b-it,English,36,10000,470,95.30%,42,75.32%,3.44, 3) 4) 5) ,"{' 3) 4) 5) ': 5027, ' 2\n\nNext is the same word twice:': 1465, ' 1)\n\nThe next word is: ': 485}"
gemma-3-12b-it,English,37,10000,320,96.80%,38,78.18%,3.16, 3) 4) 5) ,"{' 3) 4) 5) ': 5183, ' 2\n\nNext is the same word twice:': 1572, ' 1)\n\nThe next word is: ': 499}"
gemma-3-12b-it,English,38,10000,239,97.61%,34,74.76%,3.31, 3) 4) 5) ,"{' 3) 4) 5) ': 4702, ' 2\n\nNext is the same word twice:': 1709, ' 1)\n\nThe next word is: ': 486}"
gemma-3-12b-it,English,39,10000,180,98.20%,33,78.65%,3.01, 3) 4) 5) ,"{' 3) 4) 5) ': 5001, ' 2\n\nNext is the same word twice:': 1874, ' 1)\n\nThe next word is: ': 396}"
gemma-3-12b-it,English,40,10000,121,98.79%,33,79.22%,3.06, 3) 4) 5) ,"{' 3) 4) 5) ': 4134, ' 2\n\nNext is the same word twice:': 2586, ' 1)\n\nThe next word is: ': 482}"
gemma-3-12b-it,English,41,10000,135,98.65%,31,77.30%,3.22, 3) 4) 5) ,"{' 3) 4) 5) ': 3491, ' 2\n\nNext is the same word twice:': 2963, ' 2 1\n\nNext is the same word': 523}"
gemma-3-12b-it,English,42,10000,148,98.52%,38,71.14%,3.58," 2

Next is the same word twice:","{' 2\n\nNext is the same word twice:': 2922, ' 3) 4) 5) ': 2713, ' 1)\n\nThe next word is: ': 528}"
gemma-3-12b-it,English,43,10000,136,98.64%,35,77.20%,3.38," 2

Next is the same word twice:","{' 2\n\nNext is the same word twice:': 3295, ' 3) 4) 5) ': 2734, ' 2 1\n\nNext is the same word': 747}"
gemma-3-12b-it,English,44,10000,120,98.80%,39,77.03%,3.32," 2

Next is the same word twice:","{' 2\n\nNext is the same word twice:': 3618, ' 3) 4) 5) ': 2550, ' 2 1\n\nNext is the same word': 804}"
gemma-3-12b-it,English,45,10000,89,99.11%,27,82.42%,2.98," 2

Next is the same word twice:","{' 2\n\nNext is the same word twice:': 3946, ' 3) 4) 5) ': 2357, ' 2 1\n\nNext is the same word': 1278}"
gemma-3-12b-it,English,46,10000,97,99.03%,33,80.97%,3.06," 2

Next is the same word twice:","{' 2\n\nNext is the same word twice:': 4156, ' 3) 4) 5) ': 1907, ' 2 1\n\nNext is the same word': 1314}"
gemma-3-12b-it,English,47,10000,80,99.20%,24,85.64%,2.73," 2

Next is the same word twice:","{' 2\n\nNext is the same word twice:': 3788, ' 3) 4) 5) ': 2953, ' 2 1\n\nNext is the same word': 1372}"
gemma-3-12b-it,English,48,10000,266,97.34%,36,74.22%,3.65," 2

Next is the same word twice:","{' 2\n\nNext is the same word twice:': 3241, ' 3) 4) 5) ': 2266, ' 11\n\nNext is the same word twice': 1064}"
gemma-3-12b-it,German,1,10000,5431,45.69%,71,2.27%,11.8," ు

Welches Wort ist das?

","{' ు\n\nWelches Wort ist das?\n\n': 53, ' ণ\n\nDie Antwort ist: ণ\n\n': 52, ' 웅\n\nIch bin mir nicht sicher, ob': 50}"
gemma-3-12b-it,German,2,10000,6189,38.11%,49,1.66%,12.12," ь

Die Antwort ist: **ь**","{' ь\n\nDie Antwort ist: **ь**': 42, ' ণ\n\nDie Antwort ist: ণ\n\n': 38, ' ரு\n\nDie Antwort ist: **ரு**': 31}"
gemma-3-12b-it,German,3,10000,6772,32.28%,44,1.80%,12.3," unglücklich

Das Wort ist ""ungl","{' unglücklich\n\nDas Wort ist ""ungl': 61, ' 1) 1) 1) ': 40, ' Zeit\n\nDas Wort ist ""Zeit"".\n<end_of_turn>': 33}"
gemma-3-12b-it,German,4,10000,7443,25.57%,25,0.94%,12.56," Stelle

Ich habe das Wort ""Stelle""","{' Stelle\n\nIch habe das Wort ""Stelle""': 23, ' Zeit\n\nDas Wort ist ""Zeit"".\n<end_of_turn>': 19, ' Bereich\n\nDas Wort ""Bereich"" kommt zweimal': 19}"
gemma-3-12b-it,German,5,10000,7532,24.68%,30,1.10%,12.57," Haus

Das Wort ist ""Haus"".
<end_of_turn>","{' Haus\n\nDas Wort ist ""Haus"".\n<end_of_turn>': 30, ' Zeit\n\nDas Wort ist ""Zeit"".\n<end_of_turn>': 22, ' Stelle\n\nIch habe das Wort ""Stelle""': 20}"
gemma-3-12b-it,German,6,10000,7565,24.35%,27,1.06%,12.58," Haus

Das Wort ist ""Haus"".
<end_of_turn>","{' Haus\n\nDas Wort ist ""Haus"".\n<end_of_turn>': 31, ' Zeit\n\nDas Wort ist ""Zeit"".\n<end_of_turn>': 20, ' Stelle\n\nIch habe das Wort ""Stelle""': 19}"
gemma-3-12b-it,German,7,10000,7714,22.86%,26,0.92%,12.63," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 20, ' Punkt\n\nIch habe das Wort ""Punkt""': 19, ' Meister\n\nIch habe das Wort ""Meister""': 19}"
gemma-3-12b-it,German,8,10000,7920,20.80%,20,1.03%,12.7," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 32, ' Punkt\n\nIch habe das Wort ""Punkt""': 20, ' Spiel\n\nDas Wort ""Spiel"" kommt zweimal vor': 19}"
gemma-3-12b-it,German,9,10000,7982,20.18%,19,1.06%,12.72," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 37, ' Punkt\n\nIch habe das Wort ""Punkt""': 20, ' Seite\n\nIch habe das Wort ""Seite"" zweimal': 18}"
gemma-3-12b-it,German,10,10000,8005,19.95%,20,0.98%,12.73," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 35, ' Seite\n\nIch habe das Wort ""Seite"" zweimal': 17, ' Punkt\n\nIch habe das Wort ""Punkt""': 16}"
gemma-3-12b-it,German,11,10000,8200,18.00%,14,0.97%,12.79," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 31, ' Punkt\n\nIch habe das Wort ""Punkt""': 21, ' Film\n\nIch habe das Wort ""Film"" zweimal': 16}"
gemma-3-12b-it,German,12,10000,8291,17.09%,14,0.80%,12.83," Haus

Das Wort ""Haus"" kommt zweimal vor","{' Haus\n\nDas Wort ""Haus"" kommt zweimal vor': 25, ' Platz\n\nIch habe das Wort ""Platz"" in': 15, ' Geschichte\n\nIch habe das Wort ""Geschichte"" zweimal': 14}"
gemma-3-12b-it,German,13,10000,8394,16.06%,9,0.66%,12.86," Spiel

Ich habe das Wort ""Spiel"" zweimal","{' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 14, ' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 14, ' Punkt\n\nIch habe das Wort ""Punkt""': 14}"
gemma-3-12b-it,German,14,10000,8289,17.11%,11,0.90%,12.82," Zeit

Ich habe das Wort ""Zeit"" zweimal","{' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 26, ' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 20, ' Punkt\n\nIch habe das Wort ""Punkt""': 17}"
gemma-3-12b-it,German,15,10000,8110,18.90%,21,1.17%,12.76," Zeit

Ich habe das Wort ""Zeit"" zweimal","{' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 39, ' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 27, ' Punkt\n\nIch habe das Wort ""Punkt""': 18}"
gemma-3-12b-it,German,16,10000,7907,20.93%,20,1.25%,12.7," Zeit

Ich habe das Wort ""Zeit"" zweimal","{' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 39, ' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 28, ' Punkt\n\nIch habe das Wort ""Punkt""': 21}"
gemma-3-12b-it,German,17,10000,7772,22.28%,27,1.28%,12.65," Zeit

Ich habe das Wort ""Zeit"" zweimal","{' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 38, ' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 28, ' Weg\n\nIch habe das Wort ""Weg""': 21}"
gemma-3-12b-it,German,18,10000,7715,22.85%,25,1.36%,12.63,"

Ich habe eine Frage zu einem Text. Das","{'\n\nIch habe eine Frage zu einem Text. Das': 34, ' Zeit\n\nIch habe das Wort ""Zeit"" zweimal': 33, ' Spiel\n\nIch habe das Wort ""Spiel"" zweimal': 29}"
gemma-3-12b-it,German,19,10000,7510,24.90%,34,1.93%,12.51,"

Ich habe eine Frage zu einem Text. Das","{'\n\nIch habe eine Frage zu einem Text. Das': 66, '\n\nDie Antwort ist: **""dasselbe': 38, ' 1.\n\nDas Wort ist ""1"".': 31}"
gemma-3-12b-it,German,20,10000,7395,26.05%,40,2.39%,12.44,"

Die Antwort ist: **""dasselbe","{'\n\nDie Antwort ist: **""dasselbe': 74, '\n\nIch habe eine Frage zu einem Text. Das': 69, ' 1) 1) 1) ': 35}"
